User,Activity,timestamp,x,y,z,timeIntervalSince1970
Caroline,D,2020-05-05 20:15:42.870 +0000,-0.384293,-0.834793,-0.401855,1588709743
Caroline,D,2020-05-05 20:15:42.880 +0000,-0.427795,-0.807144,-0.431976,1588709743
Caroline,D,2020-05-05 20:15:42.890 +0000,-0.428589,-0.758453,-0.428452,1588709743
Caroline,D,2020-05-05 20:15:42.900 +0000,-0.440475,-0.758804,-0.448669,1588709743
Caroline,D,2020-05-05 20:15:42.910 +0000,-0.468185,-0.771347,-0.4617,1588709743
Caroline,D,2020-05-05 20:15:42.920 +0000,-0.477234,-0.792343,-0.452316,1588709743
Caroline,D,2020-05-05 20:15:42.930 +0000,-0.448761,-0.815186,-0.437378,1588709743
Caroline,D,2020-05-05 20:15:42.940 +0000,-0.436356,-0.827194,-0.435913,1588709743
Caroline,D,2020-05-05 20:15:42.950 +0000,-0.42511,-0.820572,-0.432373,1588709743
Caroline,D,2020-05-05 20:15:42.960 +0000,-0.405457,-0.808121,-0.431839,1588709743
Caroline,D,2020-05-05 20:15:42.970 +0000,-0.39473,-0.796661,-0.430664,1588709743
Caroline,D,2020-05-05 20:15:42.980 +0000,-0.389618,-0.797943,-0.43042,1588709743
Caroline,D,2020-05-05 20:15:42.990 +0000,-0.388229,-0.804977,-0.430008,1588709743
Caroline,D,2020-05-05 20:15:43.000 +0000,-0.389816,-0.812149,-0.428329,1588709743
Caroline,D,2020-05-05 20:15:43.010 +0000,-0.389008,-0.824295,-0.429703,1588709743
Caroline,D,2020-05-05 20:15:43.020 +0000,-0.387787,-0.830307,-0.435577,1588709743
Caroline,D,2020-05-05 20:15:43.030 +0000,-0.399918,-0.810684,-0.443787,1588709743
Caroline,D,2020-05-05 20:15:43.040 +0000,-0.399521,-0.794983,-0.430176,1588709743
Caroline,D,2020-05-05 20:15:43.049 +0000,-0.406784,-0.785583,-0.424667,1588709743
Caroline,D,2020-05-05 20:15:43.059 +0000,-0.417587,-0.787735,-0.428101,1588709743
Caroline,D,2020-05-05 20:15:43.069 +0000,-0.438553,-0.780426,-0.438354,1588709743
Caroline,D,2020-05-05 20:15:43.079 +0000,-0.437897,-0.794235,-0.421143,1588709743
Caroline,D,2020-05-05 20:15:43.089 +0000,-0.440308,-0.805817,-0.4086,1588709743
Caroline,D,2020-05-05 20:15:43.099 +0000,-0.455124,-0.800262,-0.406052,1588709743
Caroline,D,2020-05-05 20:15:43.109 +0000,-0.465698,-0.789383,-0.415649,1588709743
Caroline,D,2020-05-05 20:15:43.119 +0000,-0.465759,-0.781494,-0.414551,1588709743
Caroline,D,2020-05-05 20:15:43.129 +0000,-0.45932,-0.782242,-0.409576,1588709743
Caroline,D,2020-05-05 20:15:43.139 +0000,-0.453598,-0.790024,-0.403885,1588709743
Caroline,D,2020-05-05 20:15:43.149 +0000,-0.445923,-0.79834,-0.400391,1588709743
Caroline,D,2020-05-05 20:15:43.159 +0000,-0.428146,-0.794022,-0.402252,1588709743
Caroline,D,2020-05-05 20:15:43.169 +0000,-0.415985,-0.77533,-0.414062,1588709743
Caroline,D,2020-05-05 20:15:43.179 +0000,-0.424789,-0.75441,-0.430664,1588709743
Caroline,D,2020-05-05 20:15:43.189 +0000,-0.455322,-0.737305,-0.43924,1588709743
Caroline,D,2020-05-05 20:15:43.199 +0000,-0.48732,-0.725281,-0.428452,1588709743
Caroline,D,2020-05-05 20:15:43.209 +0000,-0.502899,-0.722275,-0.404221,1588709743
Caroline,D,2020-05-05 20:15:43.219 +0000,-0.508926,-0.721313,-0.372665,1588709743
Caroline,D,2020-05-05 20:15:43.229 +0000,-0.501816,-0.677109,-0.337448,1588709743
Caroline,D,2020-05-05 20:15:43.239 +0000,-0.526627,-0.615494,-0.340195,1588709743
Caroline,D,2020-05-05 20:15:43.248 +0000,-0.580048,-0.588593,-0.346268,1588709743
Caroline,D,2020-05-05 20:15:43.258 +0000,-0.617203,-0.598953,-0.334457,1588709743
Caroline,D,2020-05-05 20:15:43.268 +0000,-0.635956,-0.636093,-0.306366,1588709743
Caroline,D,2020-05-05 20:15:43.278 +0000,-0.656174,-0.662292,-0.289719,1588709743
Caroline,D,2020-05-05 20:15:43.288 +0000,-0.681885,-0.654846,-0.262833,1588709743
Caroline,D,2020-05-05 20:15:43.298 +0000,-0.704437,-0.623383,-0.233261,1588709743
Caroline,D,2020-05-05 20:15:43.308 +0000,-0.731476,-0.581329,-0.221619,1588709743
Caroline,D,2020-05-05 20:15:43.318 +0000,-0.76358,-0.52301,-0.213959,1588709743
Caroline,D,2020-05-05 20:15:43.328 +0000,-0.784821,-0.461273,-0.195496,1588709743
Caroline,D,2020-05-05 20:15:43.338 +0000,-0.791061,-0.420486,-0.187225,1588709743
Caroline,D,2020-05-05 20:15:43.348 +0000,-0.796249,-0.411865,-0.187164,1588709743
Caroline,D,2020-05-05 20:15:43.358 +0000,-0.799301,-0.42952,-0.177277,1588709743
Caroline,D,2020-05-05 20:15:43.368 +0000,-0.789856,-0.457565,-0.155624,1588709743
Caroline,D,2020-05-05 20:15:43.378 +0000,-0.784775,-0.473724,-0.136307,1588709743
Caroline,D,2020-05-05 20:15:43.388 +0000,-0.790146,-0.473404,-0.133072,1588709743
Caroline,D,2020-05-05 20:15:43.398 +0000,-0.789398,-0.465805,-0.141586,1588709743
Caroline,D,2020-05-05 20:15:43.408 +0000,-0.792419,-0.443237,-0.149246,1588709743
Caroline,D,2020-05-05 20:15:43.418 +0000,-0.825424,-0.422287,-0.111282,1588709743
Caroline,D,2020-05-05 20:15:43.428 +0000,-0.879059,-0.440201,-0.031433,1588709743
Caroline,D,2020-05-05 20:15:43.438 +0000,-0.905243,-0.482315,0.040833,1588709743
Caroline,D,2020-05-05 20:15:43.448 +0000,-0.905685,-0.511642,0.075882,1588709743
Caroline,D,2020-05-05 20:15:43.457 +0000,-0.906128,-0.517685,0.091217,1588709743
Caroline,D,2020-05-05 20:15:43.467 +0000,-0.898895,-0.519165,0.086258,1588709743
Caroline,D,2020-05-05 20:15:43.477 +0000,-0.887955,-0.523102,0.045837,1588709743
Caroline,D,2020-05-05 20:15:43.487 +0000,-0.88533,-0.531342,0.036499,1588709743
Caroline,D,2020-05-05 20:15:43.497 +0000,-0.888031,-0.540451,0.071075,1588709743
Caroline,D,2020-05-05 20:15:43.507 +0000,-0.895157,-0.54274,0.106445,1588709744
Caroline,D,2020-05-05 20:15:43.517 +0000,-0.901306,-0.534012,0.148499,1588709744
Caroline,D,2020-05-05 20:15:43.527 +0000,-0.894043,-0.521744,0.182205,1588709744
Caroline,D,2020-05-05 20:15:43.537 +0000,-0.889389,-0.506485,0.197052,1588709744
Caroline,D,2020-05-05 20:15:43.547 +0000,-0.901108,-0.494324,0.200851,1588709744
Caroline,D,2020-05-05 20:15:43.557 +0000,-0.92157,-0.485275,0.204102,1588709744
Caroline,D,2020-05-05 20:15:43.567 +0000,-0.93924,-0.472153,0.190689,1588709744
Caroline,D,2020-05-05 20:15:43.577 +0000,-0.95546,-0.453033,0.187729,1588709744
Caroline,D,2020-05-05 20:15:43.587 +0000,-0.976242,-0.444382,0.200974,1588709744
Caroline,D,2020-05-05 20:15:43.597 +0000,-0.990265,-0.44957,0.212051,1588709744
Caroline,D,2020-05-05 20:15:43.607 +0000,-1.009171,-0.46788,0.272461,1588709744
Caroline,D,2020-05-05 20:15:43.617 +0000,-1.016449,-0.483582,0.322327,1588709744
Caroline,D,2020-05-05 20:15:43.627 +0000,-0.996399,-0.481064,0.314392,1588709744
Caroline,D,2020-05-05 20:15:43.637 +0000,-0.950668,-0.461121,0.29364,1588709744
Caroline,D,2020-05-05 20:15:43.647 +0000,-0.904556,-0.437759,0.271545,1588709744
Caroline,D,2020-05-05 20:15:43.656 +0000,-0.870056,-0.420334,0.239273,1588709744
Caroline,D,2020-05-05 20:15:43.666 +0000,-0.856934,-0.403137,0.214478,1588709744
Caroline,D,2020-05-05 20:15:43.676 +0000,-0.85524,-0.39238,0.222275,1588709744
Caroline,D,2020-05-05 20:15:43.686 +0000,-0.853653,-0.395966,0.231796,1588709744
Caroline,D,2020-05-05 20:15:43.696 +0000,-0.853867,-0.407364,0.232895,1588709744
Caroline,D,2020-05-05 20:15:43.706 +0000,-0.863342,-0.407593,0.245087,1588709744
Caroline,D,2020-05-05 20:15:43.716 +0000,-0.879089,-0.386551,0.258484,1588709744
Caroline,D,2020-05-05 20:15:43.726 +0000,-0.88884,-0.347214,0.259705,1588709744
Caroline,D,2020-05-05 20:15:43.736 +0000,-0.907333,-0.300812,0.246033,1588709744
Caroline,D,2020-05-05 20:15:43.746 +0000,-0.942612,-0.259262,0.264267,1588709744
Caroline,D,2020-05-05 20:15:43.756 +0000,-0.986862,-0.228302,0.300552,1588709744
Caroline,D,2020-05-05 20:15:43.766 +0000,-1.014053,-0.221405,0.356033,1588709744
Caroline,D,2020-05-05 20:15:43.776 +0000,-1.049622,-0.219101,0.396759,1588709744
Caroline,D,2020-05-05 20:15:43.786 +0000,-1.104553,-0.205338,0.420807,1588709744
Caroline,D,2020-05-05 20:15:43.796 +0000,-1.129669,-0.18718,0.429169,1588709744
Caroline,D,2020-05-05 20:15:43.806 +0000,-1.12384,-0.169983,0.427826,1588709744
Caroline,D,2020-05-05 20:15:43.816 +0000,-1.105164,-0.146637,0.460281,1588709744
Caroline,D,2020-05-05 20:15:43.826 +0000,-1.063583,-0.131882,0.485275,1588709744
Caroline,D,2020-05-05 20:15:43.836 +0000,-1.024033,-0.122025,0.497604,1588709744
Caroline,D,2020-05-05 20:15:43.846 +0000,-1.000961,-0.104538,0.502014,1588709744
Caroline,D,2020-05-05 20:15:43.855 +0000,-0.991776,-0.074432,0.490295,1588709744
Caroline,D,2020-05-05 20:15:43.865 +0000,-0.992798,-0.039215,0.482788,1588709744
Caroline,D,2020-05-05 20:15:43.875 +0000,-0.991852,-0.010773,0.465744,1588709744
Caroline,D,2020-05-05 20:15:43.885 +0000,-0.978897,-0.004959,0.448334,1588709744
Caroline,D,2020-05-05 20:15:43.895 +0000,-0.95903,-0.027496,0.433273,1588709744
Caroline,D,2020-05-05 20:15:43.905 +0000,-0.935104,-0.069534,0.430817,1588709744
Caroline,D,2020-05-05 20:15:43.915 +0000,-0.920959,-0.103027,0.424484,1588709744
Caroline,D,2020-05-05 20:15:43.925 +0000,-0.914856,-0.101013,0.414764,1588709744
Caroline,D,2020-05-05 20:15:43.935 +0000,-0.917618,-0.066574,0.414322,1588709744
Caroline,D,2020-05-05 20:15:43.945 +0000,-0.928497,-0.029343,0.443237,1588709744
Caroline,D,2020-05-05 20:15:43.955 +0000,-0.938431,-0.017502,0.467804,1588709744
