User,Activity,timestamp,x,y,z,timeIntervalSince1970
Caroline,A,2020-05-05 20:26:32.115 +0000,-0.498199,-0.815048,-0.259827,1588710392
Caroline,A,2020-05-05 20:26:32.125 +0000,-0.501648,-0.835358,-0.239456,1588710392
Caroline,A,2020-05-05 20:26:32.134 +0000,-0.479416,-0.835144,-0.276184,1588710392
Caroline,A,2020-05-05 20:26:32.144 +0000,-0.476868,-0.824081,-0.260742,1588710392
Caroline,A,2020-05-05 20:26:32.154 +0000,-0.478867,-0.810654,-0.274307,1588710392
Caroline,A,2020-05-05 20:26:32.164 +0000,-0.480896,-0.808075,-0.277267,1588710392
Caroline,A,2020-05-05 20:26:32.174 +0000,-0.498611,-0.818802,-0.268921,1588710392
Caroline,A,2020-05-05 20:26:32.184 +0000,-0.514389,-0.832214,-0.264771,1588710392
Caroline,A,2020-05-05 20:26:32.194 +0000,-0.524673,-0.840897,-0.267944,1588710392
Caroline,A,2020-05-05 20:26:32.204 +0000,-0.536301,-0.840393,-0.268234,1588710392
Caroline,A,2020-05-05 20:26:32.214 +0000,-0.559113,-0.825226,-0.252548,1588710392
Caroline,A,2020-05-05 20:26:32.224 +0000,-0.550201,-0.809326,-0.2453,1588710392
Caroline,A,2020-05-05 20:26:32.234 +0000,-0.52034,-0.815414,-0.25531,1588710392
Caroline,A,2020-05-05 20:26:32.244 +0000,-0.497787,-0.82103,-0.263229,1588710392
Caroline,A,2020-05-05 20:26:32.254 +0000,-0.479813,-0.821686,-0.274628,1588710392
Caroline,A,2020-05-05 20:26:32.264 +0000,-0.469742,-0.821045,-0.278259,1588710392
Caroline,A,2020-05-05 20:26:32.274 +0000,-0.471146,-0.830734,-0.276077,1588710392
Caroline,A,2020-05-05 20:26:32.284 +0000,-0.478455,-0.843567,-0.269287,1588710392
Caroline,A,2020-05-05 20:26:32.294 +0000,-0.488312,-0.845795,-0.264496,1588710392
Caroline,A,2020-05-05 20:26:32.304 +0000,-0.499756,-0.834335,-0.264542,1588710392
