User,Activity,timestamp,x,y,z,timeIntervalSince1970
Caroline,E,2020-05-05 20:13:04.249 +0000,-0.549438,0.798599,0.015442,1588709584
Caroline,E,2020-05-05 20:13:04.259 +0000,-0.542786,0.836456,-0.115372,1588709584
Caroline,E,2020-05-05 20:13:04.269 +0000,-0.510086,0.815292,-0.076996,1588709584
Caroline,E,2020-05-05 20:13:04.279 +0000,-0.518738,0.812851,-0.108978,1588709584
Caroline,E,2020-05-05 20:13:04.289 +0000,-0.525864,0.83551,-0.144485,1588709584
Caroline,E,2020-05-05 20:13:04.299 +0000,-0.529846,0.857117,-0.147598,1588709584
Caroline,E,2020-05-05 20:13:04.309 +0000,-0.533463,0.846497,-0.130951,1588709584
Caroline,E,2020-05-05 20:13:04.319 +0000,-0.535873,0.825012,-0.116486,1588709584
Caroline,E,2020-05-05 20:13:04.329 +0000,-0.541611,0.822372,-0.105255,1588709584
Caroline,E,2020-05-05 20:13:04.339 +0000,-0.550217,0.834885,-0.111862,1588709584
Caroline,E,2020-05-05 20:13:04.349 +0000,-0.563782,0.836868,-0.089783,1588709584
Caroline,E,2020-05-05 20:13:04.359 +0000,-0.552933,0.825226,-0.090408,1588709584
Caroline,E,2020-05-05 20:13:04.369 +0000,-0.518219,0.816452,-0.104797,1588709584
Caroline,E,2020-05-05 20:13:04.379 +0000,-0.489471,0.81575,-0.11879,1588709584
Caroline,E,2020-05-05 20:13:04.389 +0000,-0.477356,0.829315,-0.138397,1588709584
Caroline,E,2020-05-05 20:13:04.399 +0000,-0.482864,0.852783,-0.158081,1588709584
Caroline,E,2020-05-05 20:13:04.409 +0000,-0.504532,0.872559,-0.172531,1588709584
Caroline,E,2020-05-05 20:13:04.419 +0000,-0.540085,0.879425,-0.15538,1588709584
Caroline,E,2020-05-05 20:13:04.428 +0000,-0.566299,0.868958,-0.09993,1588709584
Caroline,E,2020-05-05 20:13:04.438 +0000,-0.568054,0.857635,-0.097778,1588709584
Caroline,E,2020-05-05 20:13:04.448 +0000,-0.574707,0.850494,-0.104324,1588709584
Caroline,E,2020-05-05 20:13:04.458 +0000,-0.582703,0.840302,-0.085632,1588709584
Caroline,E,2020-05-05 20:13:04.468 +0000,-0.584991,0.830032,-0.104202,1588709584
Caroline,E,2020-05-05 20:13:04.478 +0000,-0.578247,0.829712,-0.122971,1588709584
Caroline,E,2020-05-05 20:13:04.488 +0000,-0.569672,0.840378,-0.12265,1588709584
Caroline,E,2020-05-05 20:13:04.498 +0000,-0.571136,0.854141,-0.12178,1588709584
Caroline,E,2020-05-05 20:13:04.508 +0000,-0.578583,0.858841,-0.108337,1588709585
Caroline,E,2020-05-05 20:13:04.518 +0000,-0.563644,0.853378,-0.124939,1588709585
Caroline,E,2020-05-05 20:13:04.528 +0000,-0.545319,0.845901,-0.137741,1588709585
Caroline,E,2020-05-05 20:13:04.538 +0000,-0.541824,0.839844,-0.144974,1588709585
Caroline,E,2020-05-05 20:13:04.548 +0000,-0.552811,0.835052,-0.149506,1588709585
Caroline,E,2020-05-05 20:13:04.558 +0000,-0.564636,0.826859,-0.141907,1588709585
Caroline,E,2020-05-05 20:13:04.568 +0000,-0.56929,0.822205,-0.131531,1588709585
Caroline,E,2020-05-05 20:13:04.578 +0000,-0.56633,0.817566,-0.130081,1588709585
Caroline,E,2020-05-05 20:13:04.588 +0000,-0.55983,0.812729,-0.148605,1588709585
Caroline,E,2020-05-05 20:13:04.598 +0000,-0.554459,0.80806,-0.167053,1588709585
Caroline,E,2020-05-05 20:13:04.608 +0000,-0.547699,0.806992,-0.181549,1588709585
Caroline,E,2020-05-05 20:13:04.618 +0000,-0.543549,0.812271,-0.18042,1588709585
Caroline,E,2020-05-05 20:13:04.628 +0000,-0.544037,0.818222,-0.167374,1588709585
Caroline,E,2020-05-05 20:13:04.637 +0000,-0.543869,0.828659,-0.164139,1588709585
Caroline,E,2020-05-05 20:13:04.647 +0000,-0.543137,0.843658,-0.154236,1588709585
Caroline,E,2020-05-05 20:13:04.657 +0000,-0.543762,0.853714,-0.13942,1588709585
Caroline,E,2020-05-05 20:13:04.667 +0000,-0.543121,0.856415,-0.128616,1588709585
Caroline,E,2020-05-05 20:13:04.677 +0000,-0.540115,0.864716,-0.112061,1588709585
Caroline,E,2020-05-05 20:13:04.687 +0000,-0.538116,0.87059,-0.08696,1588709585
Caroline,E,2020-05-05 20:13:04.697 +0000,-0.532104,0.867355,-0.086258,1588709585
Caroline,E,2020-05-05 20:13:04.707 +0000,-0.525757,0.864029,-0.1035,1588709585
Caroline,E,2020-05-05 20:13:04.717 +0000,-0.520264,0.865463,-0.117889,1588709585
Caroline,E,2020-05-05 20:13:04.727 +0000,-0.519302,0.867249,-0.127518,1588709585
Caroline,E,2020-05-05 20:13:04.737 +0000,-0.525574,0.866257,-0.111206,1588709585
Caroline,E,2020-05-05 20:13:04.747 +0000,-0.525696,0.855911,-0.089157,1588709585
Caroline,E,2020-05-05 20:13:04.757 +0000,-0.518066,0.83699,-0.087418,1588709585
Caroline,E,2020-05-05 20:13:04.767 +0000,-0.508865,0.818085,-0.09198,1588709585
Caroline,E,2020-05-05 20:13:04.777 +0000,-0.507156,0.807434,-0.086777,1588709585
Caroline,E,2020-05-05 20:13:04.787 +0000,-0.516266,0.8022,-0.072525,1588709585
Caroline,E,2020-05-05 20:13:04.797 +0000,-0.534485,0.804108,-0.063049,1588709585
Caroline,E,2020-05-05 20:13:04.807 +0000,-0.552139,0.809143,-0.062408,1588709585
Caroline,E,2020-05-05 20:13:04.817 +0000,-0.560028,0.815628,-0.064041,1588709585
Caroline,E,2020-05-05 20:13:04.827 +0000,-0.559677,0.818512,-0.067596,1588709585
Caroline,E,2020-05-05 20:13:04.836 +0000,-0.556519,0.820267,-0.087173,1588709585
Caroline,E,2020-05-05 20:13:04.846 +0000,-0.551498,0.827301,-0.106262,1588709585
Caroline,E,2020-05-05 20:13:04.856 +0000,-0.545258,0.832336,-0.113007,1588709585
Caroline,E,2020-05-05 20:13:04.866 +0000,-0.541489,0.841995,-0.117355,1588709585
Caroline,E,2020-05-05 20:13:04.876 +0000,-0.534836,0.845184,-0.13063,1588709585
Caroline,E,2020-05-05 20:13:04.886 +0000,-0.535767,0.838196,-0.134323,1588709585
Caroline,E,2020-05-05 20:13:04.896 +0000,-0.547943,0.824234,-0.123642,1588709585
Caroline,E,2020-05-05 20:13:04.906 +0000,-0.574493,0.829132,-0.120697,1588709585
Caroline,E,2020-05-05 20:13:04.916 +0000,-0.607361,0.84552,-0.113907,1588709585
Caroline,E,2020-05-05 20:13:04.926 +0000,-0.623154,0.847061,-0.115845,1588709585
Caroline,E,2020-05-05 20:13:04.936 +0000,-0.610794,0.82959,-0.137283,1588709585
Caroline,E,2020-05-05 20:13:04.946 +0000,-0.587875,0.810211,-0.170212,1588709585
Caroline,E,2020-05-05 20:13:04.956 +0000,-0.565811,0.799271,-0.204071,1588709585
Caroline,E,2020-05-05 20:13:04.966 +0000,-0.541336,0.791275,-0.230927,1588709585
Caroline,E,2020-05-05 20:13:04.976 +0000,-0.522064,0.777176,-0.237625,1588709585
Caroline,E,2020-05-05 20:13:04.986 +0000,-0.512543,0.757095,-0.225052,1588709585
Caroline,E,2020-05-05 20:13:04.996 +0000,-0.513016,0.744659,-0.207306,1588709585
Caroline,E,2020-05-05 20:13:05.006 +0000,-0.517838,0.729874,-0.189835,1588709585
Caroline,E,2020-05-05 20:13:05.016 +0000,-0.520508,0.715454,-0.169144,1588709585
Caroline,E,2020-05-05 20:13:05.026 +0000,-0.516464,0.710403,-0.151566,1588709585
Caroline,E,2020-05-05 20:13:05.035 +0000,-0.507034,0.709564,-0.132294,1588709585
Caroline,E,2020-05-05 20:13:05.045 +0000,-0.485428,0.714035,-0.100052,1588709585
Caroline,E,2020-05-05 20:13:05.055 +0000,-0.456116,0.716888,-0.045441,1588709585
Caroline,E,2020-05-05 20:13:05.065 +0000,-0.421555,0.71434,0.039948,1588709585
Caroline,E,2020-05-05 20:13:05.075 +0000,-0.381439,0.70314,0.152557,1588709585
Caroline,E,2020-05-05 20:13:05.085 +0000,-0.36412,0.690018,0.294083,1588709585
Caroline,E,2020-05-05 20:13:05.095 +0000,-0.369324,0.675598,0.393723,1588709585
Caroline,E,2020-05-05 20:13:05.105 +0000,-0.368759,0.690308,0.398499,1588709585
Caroline,E,2020-05-05 20:13:05.115 +0000,-0.345383,0.751434,0.381104,1588709585
Caroline,E,2020-05-05 20:13:05.125 +0000,-0.297165,0.841141,0.382095,1588709585
Caroline,E,2020-05-05 20:13:05.135 +0000,-0.21492,0.928482,0.381516,1588709585
Caroline,E,2020-05-05 20:13:05.145 +0000,-0.117371,0.999924,0.372116,1588709585
Caroline,E,2020-05-05 20:13:05.155 +0000,-0.031815,1.041702,0.349564,1588709585
Caroline,E,2020-05-05 20:13:05.165 +0000,0.025543,1.043839,0.315369,1588709585
Caroline,E,2020-05-05 20:13:05.175 +0000,0.064499,1.029251,0.287704,1588709585
Caroline,E,2020-05-05 20:13:05.185 +0000,0.073105,1.031219,0.306686,1588709585
Caroline,E,2020-05-05 20:13:05.195 +0000,0.051514,1.047409,0.327316,1588709585
Caroline,E,2020-05-05 20:13:05.205 +0000,0.03476,1.06337,0.293777,1588709585
Caroline,E,2020-05-05 20:13:05.215 +0000,0.019806,1.078918,0.259003,1588709585
Caroline,E,2020-05-05 20:13:05.225 +0000,-0.000992,1.097656,0.220047,1588709585
Caroline,E,2020-05-05 20:13:05.235 +0000,-0.026611,1.113098,0.174347,1588709585
Caroline,E,2020-05-05 20:13:05.244 +0000,-0.061325,1.119308,0.15123,1588709585
Caroline,E,2020-05-05 20:13:05.254 +0000,-0.102707,1.123917,0.149033,1588709585
Caroline,E,2020-05-05 20:13:05.264 +0000,-0.144211,1.123444,0.137146,1588709585
Caroline,E,2020-05-05 20:13:05.274 +0000,-0.18251,1.115158,0.11087,1588709585
Caroline,E,2020-05-05 20:13:05.284 +0000,-0.212357,1.108215,0.107925,1588709585
Caroline,E,2020-05-05 20:13:05.294 +0000,-0.245117,1.118256,0.138245,1588709585
Caroline,E,2020-05-05 20:13:05.304 +0000,-0.29805,1.152206,0.176575,1588709585
Caroline,E,2020-05-05 20:13:05.314 +0000,-0.356583,1.203918,0.193909,1588709585
Caroline,E,2020-05-05 20:13:05.324 +0000,-0.398636,1.248856,0.204193,1588709585
Caroline,E,2020-05-05 20:13:05.334 +0000,-0.422287,1.256927,0.220001,1588709585
Caroline,E,2020-05-05 20:13:05.344 +0000,-0.442856,1.246735,0.222763,1588709585
Caroline,E,2020-05-05 20:13:05.354 +0000,-0.473221,1.239883,0.220139,1588709585
Caroline,E,2020-05-05 20:13:05.364 +0000,-0.518463,1.243729,0.178864,1588709585
Caroline,E,2020-05-05 20:13:05.374 +0000,-0.563004,1.243164,0.112518,1588709585
Caroline,E,2020-05-05 20:13:05.384 +0000,-0.585754,1.217636,0.075165,1588709585
Caroline,E,2020-05-05 20:13:05.394 +0000,-0.579163,1.183075,0.074936,1588709585
Caroline,E,2020-05-05 20:13:05.404 +0000,-0.558212,1.1707,0.08638,1588709585
Caroline,E,2020-05-05 20:13:05.414 +0000,-0.545151,1.190323,0.092377,1588709585
Caroline,E,2020-05-05 20:13:05.424 +0000,-0.545242,1.213699,0.092361,1588709585
Caroline,E,2020-05-05 20:13:05.434 +0000,-0.565002,1.20137,0.068161,1588709585
Caroline,E,2020-05-05 20:13:05.443 +0000,-0.592957,1.137024,0.030502,1588709585
Caroline,E,2020-05-05 20:13:05.453 +0000,-0.62146,1.061539,-0.013977,1588709585
Caroline,E,2020-05-05 20:13:05.463 +0000,-0.649338,0.998337,-0.045883,1588709585
Caroline,E,2020-05-05 20:13:05.473 +0000,-0.664642,0.934479,-0.058029,1588709585
Caroline,E,2020-05-05 20:13:05.483 +0000,-0.671219,0.861679,-0.066254,1588709585
Caroline,E,2020-05-05 20:13:05.493 +0000,-0.682617,0.786591,-0.064651,1588709585
Caroline,E,2020-05-05 20:13:05.503 +0000,-0.717316,0.733002,-0.063446,1588709586
Caroline,E,2020-05-05 20:13:05.513 +0000,-0.764725,0.723099,-0.066696,1588709586
Caroline,E,2020-05-05 20:13:05.523 +0000,-0.818329,0.748428,-0.050781,1588709586
Caroline,E,2020-05-05 20:13:05.533 +0000,-0.881439,0.797699,-0.033234,1588709586
