User,Activity,timestamp,x,y,z,timeIntervalSince1970
Caroline,F,2020-05-05 20:23:44.977 +0000,-0.514343,0.881683,0.029144,1588710225
Caroline,F,2020-05-05 20:23:44.987 +0000,-0.510223,0.877609,0.045731,1588710225
Caroline,F,2020-05-05 20:23:44.997 +0000,-0.504837,0.885239,0.070404,1588710225
Caroline,F,2020-05-05 20:23:45.007 +0000,-0.486298,0.877609,0.058929,1588710225
Caroline,F,2020-05-05 20:23:45.017 +0000,-0.470184,0.853745,0.050018,1588710225
Caroline,F,2020-05-05 20:23:45.027 +0000,-0.47168,0.857925,0.058899,1588710225
Caroline,F,2020-05-05 20:23:45.037 +0000,-0.481522,0.891022,0.066376,1588710225
Caroline,F,2020-05-05 20:23:45.047 +0000,-0.488083,0.910019,0.046066,1588710225
Caroline,F,2020-05-05 20:23:45.057 +0000,-0.489914,0.897705,0.033768,1588710225
Caroline,F,2020-05-05 20:23:45.067 +0000,-0.489838,0.888123,0.023499,1588710225
Caroline,F,2020-05-05 20:23:45.076 +0000,-0.493484,0.892014,0.018539,1588710225
Caroline,F,2020-05-05 20:23:45.086 +0000,-0.493546,0.873703,0.035522,1588710225
Caroline,F,2020-05-05 20:23:45.096 +0000,-0.455124,0.856018,0.032715,1588710225
Caroline,F,2020-05-05 20:23:45.106 +0000,-0.428513,0.865601,-0.007843,1588710225
Caroline,F,2020-05-05 20:23:45.116 +0000,-0.414505,0.878876,-0.036255,1588710225
Caroline,F,2020-05-05 20:23:45.126 +0000,-0.412735,0.886139,-0.019226,1588710225
Caroline,F,2020-05-05 20:23:45.136 +0000,-0.437088,0.894943,0.01738,1588710225
Caroline,F,2020-05-05 20:23:45.146 +0000,-0.476746,0.910858,0.023224,1588710225
Caroline,F,2020-05-05 20:23:45.156 +0000,-0.527771,0.996826,0.09137,1588710225
Caroline,F,2020-05-05 20:23:45.166 +0000,-0.490311,0.927292,0.046478,1588710225
Caroline,F,2020-05-05 20:23:45.176 +0000,-0.432526,0.804443,-0.026901,1588710225
Caroline,F,2020-05-05 20:23:45.186 +0000,-0.408096,0.797775,-0.025482,1588710225
Caroline,F,2020-05-05 20:23:45.196 +0000,-0.401611,0.848175,-0.010223,1588710225
