User,Activity,timestamp,x,y,z,timeIntervalSince1970
Caroline,G,2020-05-05 20:20:11.003 +0000,-0.780838,0.5952,-0.009216,1588710011
Caroline,G,2020-05-05 20:20:11.013 +0000,-0.76535,0.674973,-0.024872,1588710011
Caroline,G,2020-05-05 20:20:11.023 +0000,-0.770584,0.633667,-0.05983,1588710011
Caroline,G,2020-05-05 20:20:11.033 +0000,-0.781067,0.589371,-0.077896,1588710011
Caroline,G,2020-05-05 20:20:11.043 +0000,-0.816925,0.568619,-0.102661,1588710011
Caroline,G,2020-05-05 20:20:11.053 +0000,-0.858505,0.54628,-0.082092,1588710011
Caroline,G,2020-05-05 20:20:11.062 +0000,-0.876801,0.5439,-0.04306,1588710011
Caroline,G,2020-05-05 20:20:11.072 +0000,-0.880844,0.569031,0.007996,1588710011
Caroline,G,2020-05-05 20:20:11.082 +0000,-0.890091,0.587021,0.049088,1588710011
Caroline,G,2020-05-05 20:20:11.092 +0000,-0.853317,0.556564,0.023834,1588710011
Caroline,G,2020-05-05 20:20:11.102 +0000,-0.827011,0.553635,-0.033798,1588710011
Caroline,G,2020-05-05 20:20:11.112 +0000,-0.817368,0.575104,-0.073608,1588710011
Caroline,G,2020-05-05 20:20:11.122 +0000,-0.821838,0.591171,-0.09816,1588710011
Caroline,G,2020-05-05 20:20:11.132 +0000,-0.832245,0.587265,-0.094421,1588710011
Caroline,G,2020-05-05 20:20:11.142 +0000,-0.860443,0.563278,-0.058838,1588710011
Caroline,G,2020-05-05 20:20:11.152 +0000,-0.876434,0.50647,0.045456,1588710011
Caroline,G,2020-05-05 20:20:11.162 +0000,-0.920746,0.478073,0.152206,1588710011
Caroline,G,2020-05-05 20:20:11.172 +0000,-0.946121,0.453812,0.187943,1588710011
Caroline,G,2020-05-05 20:20:11.182 +0000,-0.889023,0.481857,0.036987,1588710011
Caroline,G,2020-05-05 20:20:11.192 +0000,-0.879364,0.541458,-0.066376,1588710011
Caroline,G,2020-05-05 20:20:11.202 +0000,-0.867584,0.56752,-0.138184,1588710011
Caroline,G,2020-05-05 20:20:11.212 +0000,-0.877365,0.550507,-0.192917,1588710011
Caroline,G,2020-05-05 20:20:11.222 +0000,-0.857712,0.498154,-0.212463,1588710011
Caroline,G,2020-05-05 20:20:11.232 +0000,-0.816757,0.471924,-0.233734,1588710011
Caroline,G,2020-05-05 20:20:11.242 +0000,-0.789886,0.497803,-0.287033,1588710011
Caroline,G,2020-05-05 20:20:11.252 +0000,-0.810776,0.58078,-0.33223,1588710011
Caroline,G,2020-05-05 20:20:11.262 +0000,-0.855103,0.654938,-0.329224,1588710011
Caroline,G,2020-05-05 20:20:11.271 +0000,-0.868683,0.637726,-0.306061,1588710011
Caroline,G,2020-05-05 20:20:11.281 +0000,-0.871704,0.575104,-0.302536,1588710011
Caroline,G,2020-05-05 20:20:11.291 +0000,-0.871597,0.514023,-0.306168,1588710011
Caroline,G,2020-05-05 20:20:11.301 +0000,-0.883194,0.478821,-0.276901,1588710011
Caroline,G,2020-05-05 20:20:11.311 +0000,-0.903305,0.470764,-0.19696,1588710011
Caroline,G,2020-05-05 20:20:11.321 +0000,-0.913376,0.45752,-0.119843,1588710011
Caroline,G,2020-05-05 20:20:11.331 +0000,-0.914032,0.45105,-0.087921,1588710011
Caroline,G,2020-05-05 20:20:11.341 +0000,-0.917603,0.45755,-0.087234,1588710011
Caroline,G,2020-05-05 20:20:11.351 +0000,-0.923584,0.473862,-0.085083,1588710011
Caroline,G,2020-05-05 20:20:11.361 +0000,-0.933701,0.498367,-0.096359,1588710011
Caroline,G,2020-05-05 20:20:11.371 +0000,-0.946213,0.514969,-0.124481,1588710011
Caroline,G,2020-05-05 20:20:11.381 +0000,-0.959976,0.519531,-0.141937,1588710011
Caroline,G,2020-05-05 20:20:11.391 +0000,-0.966812,0.530777,-0.161362,1588710011
Caroline,G,2020-05-05 20:20:11.401 +0000,-0.984558,0.569962,-0.192307,1588710011
