User,Activity,timestamp,x,y,z,timeIntervalSince1970
Caroline,H,2020-05-05 20:39:59.512 +0000,-0.516022,-0.794037,-0.297592,1588711200
Caroline,H,2020-05-05 20:39:59.522 +0000,-0.557663,-0.807404,-0.320709,1588711200
Caroline,H,2020-05-05 20:39:59.532 +0000,-0.542023,-0.781982,-0.349731,1588711200
Caroline,H,2020-05-05 20:39:59.542 +0000,-0.53064,-0.769104,-0.331787,1588711200
Caroline,H,2020-05-05 20:39:59.552 +0000,-0.533249,-0.756744,-0.380646,1588711200
Caroline,H,2020-05-05 20:39:59.562 +0000,-0.530853,-0.75502,-0.383896,1588711200
Caroline,H,2020-05-05 20:39:59.572 +0000,-0.528488,-0.761215,-0.370361,1588711200
Caroline,H,2020-05-05 20:39:59.582 +0000,-0.53566,-0.768539,-0.358795,1588711200
Caroline,H,2020-05-05 20:39:59.592 +0000,-0.543121,-0.773361,-0.327011,1588711200
Caroline,H,2020-05-05 20:39:59.602 +0000,-0.539093,-0.765503,-0.299454,1588711200
Caroline,H,2020-05-05 20:39:59.612 +0000,-0.543762,-0.770508,-0.301346,1588711200
Caroline,H,2020-05-05 20:39:59.622 +0000,-0.540161,-0.776978,-0.298752,1588711200
Caroline,H,2020-05-05 20:39:59.632 +0000,-0.532104,-0.772095,-0.293365,1588711200
Caroline,H,2020-05-05 20:39:59.642 +0000,-0.529907,-0.762772,-0.296768,1588711200
Caroline,H,2020-05-05 20:39:59.652 +0000,-0.529404,-0.75679,-0.295349,1588711200
Caroline,H,2020-05-05 20:39:59.662 +0000,-0.529388,-0.753235,-0.29332,1588711200
Caroline,H,2020-05-05 20:39:59.672 +0000,-0.536255,-0.753403,-0.291824,1588711200
Caroline,H,2020-05-05 20:39:59.682 +0000,-0.541641,-0.75499,-0.287415,1588711200
Caroline,H,2020-05-05 20:39:59.692 +0000,-0.540527,-0.75708,-0.288162,1588711200
Caroline,H,2020-05-05 20:39:59.702 +0000,-0.536575,-0.757538,-0.294128,1588711200
Caroline,H,2020-05-05 20:39:59.711 +0000,-0.528168,-0.752457,-0.297516,1588711200
Caroline,H,2020-05-05 20:39:59.721 +0000,-0.519287,-0.746094,-0.304962,1588711200
Caroline,H,2020-05-05 20:39:59.731 +0000,-0.515869,-0.742249,-0.31517,1588711200
Caroline,H,2020-05-05 20:39:59.741 +0000,-0.520706,-0.740356,-0.316635,1588711200
Caroline,H,2020-05-05 20:39:59.751 +0000,-0.535797,-0.740067,-0.303009,1588711200
Caroline,H,2020-05-05 20:39:59.761 +0000,-0.554626,-0.743271,-0.285873,1588711200
Caroline,H,2020-05-05 20:39:59.771 +0000,-0.572098,-0.746399,-0.274872,1588711200
Caroline,H,2020-05-05 20:39:59.781 +0000,-0.579575,-0.74852,-0.266357,1588711200
Caroline,H,2020-05-05 20:39:59.791 +0000,-0.577057,-0.749176,-0.262802,1588711200
Caroline,H,2020-05-05 20:39:59.801 +0000,-0.565689,-0.746521,-0.264832,1588711200
Caroline,H,2020-05-05 20:39:59.811 +0000,-0.554916,-0.734955,-0.269943,1588711200
Caroline,H,2020-05-05 20:39:59.821 +0000,-0.549133,-0.714828,-0.2798,1588711200
Caroline,H,2020-05-05 20:39:59.831 +0000,-0.55069,-0.690353,-0.292404,1588711200
Caroline,H,2020-05-05 20:39:59.841 +0000,-0.556046,-0.665817,-0.299866,1588711200
Caroline,H,2020-05-05 20:39:59.851 +0000,-0.570099,-0.644089,-0.29805,1588711200
Caroline,H,2020-05-05 20:39:59.861 +0000,-0.590057,-0.630219,-0.290619,1588711200
Caroline,H,2020-05-05 20:39:59.871 +0000,-0.60849,-0.622833,-0.285431,1588711200
Caroline,H,2020-05-05 20:39:59.881 +0000,-0.623215,-0.615036,-0.281372,1588711200
Caroline,H,2020-05-05 20:39:59.891 +0000,-0.628922,-0.605408,-0.294876,1588711200
Caroline,H,2020-05-05 20:39:59.901 +0000,-0.631302,-0.59314,-0.31926,1588711200
Caroline,H,2020-05-05 20:39:59.910 +0000,-0.633041,-0.581894,-0.326508,1588711200
Caroline,H,2020-05-05 20:39:59.920 +0000,-0.631195,-0.572632,-0.317551,1588711200
Caroline,H,2020-05-05 20:39:59.930 +0000,-0.631012,-0.558884,-0.287674,1588711200
Caroline,H,2020-05-05 20:39:59.940 +0000,-0.636978,-0.537262,-0.243546,1588711200
Caroline,H,2020-05-05 20:39:59.950 +0000,-0.648514,-0.516388,-0.190186,1588711200
Caroline,H,2020-05-05 20:39:59.960 +0000,-0.671051,-0.510147,-0.13533,1588711200
Caroline,H,2020-05-05 20:39:59.970 +0000,-0.685455,-0.521515,-0.099762,1588711200
Caroline,H,2020-05-05 20:39:59.980 +0000,-0.670349,-0.547256,-0.071396,1588711200
Caroline,H,2020-05-05 20:39:59.990 +0000,-0.631165,-0.580124,-0.044083,1588711200
Caroline,H,2020-05-05 20:40:00.000 +0000,-0.588425,-0.607956,-0.015991,1588711200
Caroline,H,2020-05-05 20:40:00.010 +0000,-0.571716,-0.609909,0.022308,1588711200
Caroline,H,2020-05-05 20:40:00.020 +0000,-0.592728,-0.583344,0.055832,1588711200
Caroline,H,2020-05-05 20:40:00.030 +0000,-0.640167,-0.537354,0.059433,1588711200
Caroline,H,2020-05-05 20:40:00.040 +0000,-0.683792,-0.492615,0.065231,1588711200
Caroline,H,2020-05-05 20:40:00.050 +0000,-0.704117,-0.461121,0.102722,1588711200
Caroline,H,2020-05-05 20:40:00.060 +0000,-0.692764,-0.448944,0.154816,1588711200
