User,Activity,timestamp,x,y,z,timeIntervalSince1970
Caroline,B,2020-05-05 20:36:15.754 +0000,-0.045638,0.313079,0.011121,1588710976
Caroline,B,2020-05-05 20:36:15.764 +0000,-0.035706,0.159765,0.000696,1588710976
Caroline,B,2020-05-05 20:36:15.773 +0000,0.000288,-0.055059,-0.019737,1588710976
Caroline,B,2020-05-05 20:36:15.783 +0000,0.014608,-0.182983,-0.048181,1588710976
Caroline,B,2020-05-05 20:36:15.793 +0000,0.019034,-0.191915,-0.077072,1588710976
Caroline,B,2020-05-05 20:36:15.803 +0000,0.013974,-0.116637,-0.087246,1588710976
Caroline,B,2020-05-05 20:36:15.813 +0000,0.014692,-0.04636,-0.079199,1588710976
Caroline,B,2020-05-05 20:36:15.823 +0000,0.010122,-0.023205,-0.05984,1588710976
Caroline,B,2020-05-05 20:36:15.833 +0000,0.007027,-0.021465,-0.034733,1588710976
Caroline,B,2020-05-05 20:36:15.843 +0000,0.018071,-0.008541,-0.017976,1588710976
Caroline,B,2020-05-05 20:36:15.853 +0000,0.033659,0.039138,0.005175,1588710976
Caroline,B,2020-05-05 20:36:15.863 +0000,0.038537,0.085626,-0.003067,1588710976
Caroline,B,2020-05-05 20:36:15.873 +0000,0.039853,0.141674,-0.031316,1588710976
Caroline,B,2020-05-05 20:36:15.883 +0000,0.036141,0.194266,-0.062218,1588710976
Caroline,B,2020-05-05 20:36:15.893 +0000,0.01534,0.241844,-0.069811,1588710976
Caroline,B,2020-05-05 20:36:15.903 +0000,-0.004059,0.280483,-0.069303,1588710976
Caroline,B,2020-05-05 20:36:15.913 +0000,-0.023428,0.366757,-0.070355,1588710976
Caroline,B,2020-05-05 20:36:15.923 +0000,-0.026236,0.454043,-0.083341,1588710976
Caroline,B,2020-05-05 20:36:15.933 +0000,-0.011884,0.538987,-0.111778,1588710976
Caroline,B,2020-05-05 20:36:15.943 +0000,0.010453,0.592567,-0.162925,1588710976
Caroline,B,2020-05-05 20:36:15.953 +0000,0.037303,0.577316,-0.222049,1588710976
Caroline,B,2020-05-05 20:36:15.963 +0000,0.04428,0.529727,-0.227428,1588710976
Caroline,B,2020-05-05 20:36:15.973 +0000,-0.020413,0.72372,-0.191095,1588710976
Caroline,B,2020-05-05 20:36:15.982 +0000,-0.008247,0.660417,-0.183937,1588710976
