User,Activity,timestamp,x,y,z,timeIntervalSince1970
Caroline,D,2020-05-05 20:15:42.870 +0000,0.027347,-0.227843,0.082519,1588709743
Caroline,D,2020-05-05 20:15:42.880 +0000,0.04863,-0.17029,0.034713,1588709743
Caroline,D,2020-05-05 20:15:42.890 +0000,0.063637,-0.086242,0.007052,1588709743
Caroline,D,2020-05-05 20:15:42.900 +0000,0.066101,-0.037396,-0.029051,1588709743
Caroline,D,2020-05-05 20:15:42.910 +0000,0.063026,0.009157,-0.061139,1588709743
Caroline,D,2020-05-05 20:15:42.920 +0000,0.067429,0.079204,-0.051457,1588709743
Caroline,D,2020-05-05 20:15:42.930 +0000,0.06589,0.093583,-0.011467,1588709743
Caroline,D,2020-05-05 20:15:42.940 +0000,0.065281,0.0682,0.013117,1588709743
Caroline,D,2020-05-05 20:15:42.950 +0000,0.069212,0.025998,0.042706,1588709743
Caroline,D,2020-05-05 20:15:42.960 +0000,0.082563,-0.020608,0.073415,1588709743
Caroline,D,2020-05-05 20:15:42.970 +0000,0.086914,-0.065104,0.085906,1588709743
Caroline,D,2020-05-05 20:15:42.980 +0000,0.081186,-0.104142,0.085584,1588709743
Caroline,D,2020-05-05 20:15:42.990 +0000,0.079438,-0.142967,0.079015,1588709743
Caroline,D,2020-05-05 20:15:43.000 +0000,0.079388,-0.165319,0.063454,1588709743
Caroline,D,2020-05-05 20:15:43.010 +0000,0.073217,-0.205708,0.053855,1588709743
Caroline,D,2020-05-05 20:15:43.020 +0000,0.054172,-0.298769,0.032081,1588709743
Caroline,D,2020-05-05 20:15:43.030 +0000,0.054386,-0.359316,0.012981,1588709743
Caroline,D,2020-05-05 20:15:43.040 +0000,0.053005,-0.379156,0.001436,1588709743
Caroline,D,2020-05-05 20:15:43.049 +0000,0.059926,-0.380283,0.003695,1588709743
Caroline,D,2020-05-05 20:15:43.059 +0000,0.047461,-0.425399,-0.007396,1588709743
Caroline,D,2020-05-05 20:15:43.069 +0000,0.042742,-0.44379,-0.012173,1588709743
Caroline,D,2020-05-05 20:15:43.079 +0000,0.070636,-0.388023,0.028649,1588709743
Caroline,D,2020-05-05 20:15:43.089 +0000,0.09585,-0.314195,0.102766,1588709743
Caroline,D,2020-05-05 20:15:43.099 +0000,0.104803,-0.285465,0.164571,1588709743
Caroline,D,2020-05-05 20:15:43.109 +0000,0.106483,-0.285273,0.221812,1588709743
Caroline,D,2020-05-05 20:15:43.119 +0000,0.102801,-0.272828,0.277008,1588709743
Caroline,D,2020-05-05 20:15:43.129 +0000,0.105081,-0.251477,0.324903,1588709743
Caroline,D,2020-05-05 20:15:43.139 +0000,0.123423,-0.220934,0.377865,1588709743
Caroline,D,2020-05-05 20:15:43.149 +0000,0.14434,-0.19995,0.440706,1588709743
Caroline,D,2020-05-05 20:15:43.159 +0000,0.176312,-0.223139,0.545431,1588709743
Caroline,D,2020-05-05 20:15:43.169 +0000,0.207963,-0.327366,0.659892,1588709743
Caroline,D,2020-05-05 20:15:43.179 +0000,0.234095,-0.494269,0.761231,1588709743
Caroline,D,2020-05-05 20:15:43.189 +0000,0.25705,-0.675749,0.826268,1588709743
Caroline,D,2020-05-05 20:15:43.199 +0000,0.283753,-0.815931,0.882684,1588709743
Caroline,D,2020-05-05 20:15:43.209 +0000,0.316117,-0.891677,0.952632,1588709743
Caroline,D,2020-05-05 20:15:43.219 +0000,0.373372,-0.918211,1.065978,1588709743
Caroline,D,2020-05-05 20:15:43.229 +0000,0.469271,-1.016851,1.202212,1588709743
Caroline,D,2020-05-05 20:15:43.239 +0000,0.584179,-1.2531,1.275758,1588709743
Caroline,D,2020-05-05 20:15:43.248 +0000,0.676812,-1.572985,1.31273,1588709743
Caroline,D,2020-05-05 20:15:43.258 +0000,0.729796,-1.829373,1.373154,1588709743
Caroline,D,2020-05-05 20:15:43.268 +0000,0.783048,-1.943664,1.474782,1588709743
Caroline,D,2020-05-05 20:15:43.278 +0000,0.871075,-1.935781,1.567936,1588709743
Caroline,D,2020-05-05 20:15:43.288 +0000,0.969714,-1.795169,1.657073,1588709743
Caroline,D,2020-05-05 20:15:43.298 +0000,1.092492,-1.604694,1.765891,1588709743
Caroline,D,2020-05-05 20:15:43.308 +0000,1.238983,-1.469262,1.866339,1588709743
Caroline,D,2020-05-05 20:15:43.318 +0000,1.375512,-1.428348,1.937214,1588709743
Caroline,D,2020-05-05 20:15:43.328 +0000,1.473981,-1.47314,1.989151,1588709743
Caroline,D,2020-05-05 20:15:43.338 +0000,1.525391,-1.559601,2.021598,1588709743
Caroline,D,2020-05-05 20:15:43.348 +0000,1.547078,-1.62267,2.018996,1588709743
Caroline,D,2020-05-05 20:15:43.358 +0000,1.52743,-1.608011,2.016098,1588709743
Caroline,D,2020-05-05 20:15:43.368 +0000,1.509999,-1.506404,2.027259,1588709743
Caroline,D,2020-05-05 20:15:43.378 +0000,1.550685,-1.353464,2.03528,1588709743
Caroline,D,2020-05-05 20:15:43.388 +0000,1.604867,-1.243797,2.067046,1588709743
Caroline,D,2020-05-05 20:15:43.398 +0000,1.652014,-1.275191,2.105649,1588709743
Caroline,D,2020-05-05 20:15:43.408 +0000,1.671413,-1.403929,2.08621,1588709743
Caroline,D,2020-05-05 20:15:43.418 +0000,1.631322,-1.500625,1.985422,1588709743
Caroline,D,2020-05-05 20:15:43.428 +0000,1.537188,-1.500247,1.885034,1588709743
Caroline,D,2020-05-05 20:15:43.438 +0000,1.459223,-1.40547,1.855972,1588709743
Caroline,D,2020-05-05 20:15:43.448 +0000,1.413585,-1.221905,1.871802,1588709743
Caroline,D,2020-05-05 20:15:43.457 +0000,1.357911,-1.003124,1.895,1588709743
Caroline,D,2020-05-05 20:15:43.467 +0000,1.274796,-0.856024,1.916023,1588709743
Caroline,D,2020-05-05 20:15:43.477 +0000,1.192262,-0.81279,1.90589,1588709743
Caroline,D,2020-05-05 20:15:43.487 +0000,1.081167,-0.81374,1.837922,1588709743
Caroline,D,2020-05-05 20:15:43.497 +0000,0.955663,-0.850721,1.731238,1588709743
Caroline,D,2020-05-05 20:15:43.507 +0000,0.853517,-0.905833,1.595951,1588709744
Caroline,D,2020-05-05 20:15:43.517 +0000,0.768052,-0.953878,1.452443,1588709744
Caroline,D,2020-05-05 20:15:43.527 +0000,0.672299,-0.980641,1.336695,1588709744
Caroline,D,2020-05-05 20:15:43.537 +0000,0.590986,-0.990082,1.233383,1588709744
Caroline,D,2020-05-05 20:15:43.547 +0000,0.509194,-0.951134,1.136746,1588709744
Caroline,D,2020-05-05 20:15:43.557 +0000,0.463536,-0.864568,1.065335,1588709744
Caroline,D,2020-05-05 20:15:43.567 +0000,0.45804,-0.73426,1.006312,1588709744
Caroline,D,2020-05-05 20:15:43.577 +0000,0.424114,-0.566791,0.961623,1588709744
