User,Activity,timestamp,x,y,z,timeIntervalSince1970
Caroline,F,2020-05-05 20:23:44.981 +0000,-0.082208,0.043928,0.067208,1588710225
Caroline,F,2020-05-05 20:23:44.991 +0000,-0.09886,-0.021445,0.065938,1588710225
Caroline,F,2020-05-05 20:23:45.001 +0000,-0.107995,-0.164466,0.068263,1588710225
Caroline,F,2020-05-05 20:23:45.011 +0000,-0.098104,-0.271921,0.080604,1588710225
Caroline,F,2020-05-05 20:23:45.020 +0000,-0.08274,-0.293644,0.069457,1588710225
Caroline,F,2020-05-05 20:23:45.030 +0000,-0.064245,-0.245089,0.039695,1588710225
Caroline,F,2020-05-05 20:23:45.040 +0000,-0.054523,-0.184281,0.014289,1588710225
Caroline,F,2020-05-05 20:23:45.050 +0000,-0.058193,-0.084552,0.019164,1588710225
Caroline,F,2020-05-05 20:23:45.060 +0000,-0.064856,0.030602,0.030439,1588710225
Caroline,F,2020-05-05 20:23:45.070 +0000,-0.060007,0.112548,0.035982,1588710225
Caroline,F,2020-05-05 20:23:45.080 +0000,-0.05328,0.190835,0.031638,1588710225
Caroline,F,2020-05-05 20:23:45.090 +0000,-0.049205,0.237613,0.069835,1588710225
Caroline,F,2020-05-05 20:23:45.100 +0000,-0.041371,0.168861,0.115808,1588710225
Caroline,F,2020-05-05 20:23:45.110 +0000,-0.038128,-0.006013,0.133612,1588710225
Caroline,F,2020-05-05 20:23:45.120 +0000,-0.040907,-0.135023,0.12372,1588710225
Caroline,F,2020-05-05 20:23:45.130 +0000,-0.052022,-0.132685,0.082034,1588710225
Caroline,F,2020-05-05 20:23:45.140 +0000,-0.041933,-0.085504,0.005529,1588710225
Caroline,F,2020-05-05 20:23:45.150 +0000,-0.053199,0.145667,-0.183187,1588710225
Caroline,F,2020-05-05 20:23:45.160 +0000,0.001855,0.291102,-0.219417,1588710225
Caroline,F,2020-05-05 20:23:45.170 +0000,0.07349,0.249148,-0.048806,1588710225
Caroline,F,2020-05-05 20:23:45.180 +0000,0.090863,0.1381,0.151957,1588710225
Caroline,F,2020-05-05 20:23:45.190 +0000,0.087835,0.038548,0.253829,1588710225
Caroline,F,2020-05-05 20:23:45.200 +0000,0.0875,-0.023242,0.234587,1588710225
Caroline,F,2020-05-05 20:23:45.210 +0000,0.102817,-0.058522,0.158804,1588710225
Caroline,F,2020-05-05 20:23:45.220 +0000,0.139272,-0.094824,0.076973,1588710225
Caroline,F,2020-05-05 20:23:45.229 +0000,0.186199,-0.165237,0.039403,1588710225
Caroline,F,2020-05-05 20:23:45.239 +0000,0.226254,-0.261454,0.037935,1588710225
Caroline,F,2020-05-05 20:23:45.249 +0000,0.265554,-0.335908,0.055135,1588710225
Caroline,F,2020-05-05 20:23:45.259 +0000,0.306928,-0.356907,0.066368,1588710225
Caroline,F,2020-05-05 20:23:45.269 +0000,0.362917,-0.326426,0.081321,1588710225
Caroline,F,2020-05-05 20:23:45.279 +0000,0.425389,-0.271668,0.097903,1588710225
Caroline,F,2020-05-05 20:23:45.289 +0000,0.474554,-0.218073,0.105904,1588710225
Caroline,F,2020-05-05 20:23:45.299 +0000,0.492102,-0.197916,0.111435,1588710225
Caroline,F,2020-05-05 20:23:45.309 +0000,0.488805,-0.195287,0.109823,1588710225
Caroline,F,2020-05-05 20:23:45.319 +0000,0.479839,-0.197143,0.113517,1588710225
Caroline,F,2020-05-05 20:23:45.329 +0000,0.456281,-0.183768,0.141804,1588710225
Caroline,F,2020-05-05 20:23:45.339 +0000,0.427666,-0.126951,0.175389,1588710225
Caroline,F,2020-05-05 20:23:45.349 +0000,0.40339,-0.03548,0.229188,1588710225
Caroline,F,2020-05-05 20:23:45.359 +0000,0.361625,0.043332,0.291844,1588710225
Caroline,F,2020-05-05 20:23:45.369 +0000,0.218844,0.060678,0.370608,1588710225
Caroline,F,2020-05-05 20:23:45.379 +0000,-0.075428,-0.037879,0.51668,1588710225
Caroline,F,2020-05-05 20:23:45.389 +0000,-0.410206,-0.259649,0.776458,1588710225
Caroline,F,2020-05-05 20:23:45.399 +0000,-0.653162,-0.560178,1.10995,1588710225
Caroline,F,2020-05-05 20:23:45.409 +0000,-0.759894,-0.818654,1.440544,1588710225
Caroline,F,2020-05-05 20:23:45.419 +0000,-0.739625,-0.934781,1.686378,1588710225
Caroline,F,2020-05-05 20:23:45.428 +0000,-0.669086,-0.907093,1.798028,1588710225
Caroline,F,2020-05-05 20:23:45.438 +0000,-0.583355,-0.8753,1.788758,1588710225
Caroline,F,2020-05-05 20:23:45.448 +0000,-0.515046,-0.960339,1.724698,1588710225
Caroline,F,2020-05-05 20:23:45.458 +0000,-0.507016,-1.149021,1.678875,1588710225
Caroline,F,2020-05-05 20:23:45.468 +0000,-0.557632,-1.36262,1.689129,1588710225
Caroline,F,2020-05-05 20:23:45.478 +0000,-0.591146,-1.513663,1.749191,1588710225
Caroline,F,2020-05-05 20:23:45.488 +0000,-0.562599,-1.54178,1.810603,1588710225
Caroline,F,2020-05-05 20:23:45.498 +0000,-0.499696,-1.437757,1.84703,1588710225
Caroline,F,2020-05-05 20:23:45.508 +0000,-0.44498,-1.156894,1.856411,1588710226
Caroline,F,2020-05-05 20:23:45.518 +0000,-0.457644,-0.711356,1.840986,1588710226
Caroline,F,2020-05-05 20:23:45.528 +0000,-0.540158,-0.311226,1.84078,1588710226
Caroline,F,2020-05-05 20:23:45.538 +0000,-0.667944,-0.102551,1.871252,1588710226
Caroline,F,2020-05-05 20:23:45.548 +0000,-0.80223,-0.08901,1.907303,1588710226
Caroline,F,2020-05-05 20:23:45.558 +0000,-0.875992,-0.173929,1.888341,1588710226
Caroline,F,2020-05-05 20:23:45.568 +0000,-0.866979,-0.228393,1.801022,1588710226
Caroline,F,2020-05-05 20:23:45.578 +0000,-0.784039,-0.19026,1.65814,1588710226
Caroline,F,2020-05-05 20:23:45.588 +0000,-0.678024,-0.061561,1.496906,1588710226
Caroline,F,2020-05-05 20:23:45.598 +0000,-0.578756,0.105979,1.350203,1588710226
Caroline,F,2020-05-05 20:23:45.608 +0000,-0.494231,0.25716,1.22866,1588710226
Caroline,F,2020-05-05 20:23:45.618 +0000,-0.42057,0.325079,1.118108,1588710226
Caroline,F,2020-05-05 20:23:45.628 +0000,-0.370436,0.282002,1.013768,1588710226
Caroline,F,2020-05-05 20:23:45.637 +0000,-0.362144,0.164899,0.900744,1588710226
Caroline,F,2020-05-05 20:23:45.647 +0000,-0.38239,0.045843,0.773566,1588710226
Caroline,F,2020-05-05 20:23:45.657 +0000,-0.39134,0.00264,0.643853,1588710226
Caroline,F,2020-05-05 20:23:45.667 +0000,-0.383642,0.093942,0.528943,1588710226
Caroline,F,2020-05-05 20:23:45.677 +0000,-0.355195,0.276946,0.440698,1588710226
Caroline,F,2020-05-05 20:23:45.687 +0000,-0.3239,0.479813,0.397893,1588710226
Caroline,F,2020-05-05 20:23:45.697 +0000,-0.31389,0.645329,0.406629,1588710226
Caroline,F,2020-05-05 20:23:45.707 +0000,-0.326622,0.750503,0.430238,1588710226
Caroline,F,2020-05-05 20:23:45.717 +0000,-0.346128,0.779222,0.45039,1588710226
Caroline,F,2020-05-05 20:23:45.727 +0000,-0.360452,0.741103,0.426288,1588710226
Caroline,F,2020-05-05 20:23:45.737 +0000,-0.364647,0.663604,0.33806,1588710226
Caroline,F,2020-05-05 20:23:45.747 +0000,-0.350981,0.571943,0.209299,1588710226
Caroline,F,2020-05-05 20:23:45.757 +0000,-0.328558,0.497247,0.088906,1588710226
Caroline,F,2020-05-05 20:23:45.767 +0000,-0.305541,0.464325,0.011017,1588710226
Caroline,F,2020-05-05 20:23:45.777 +0000,-0.285321,0.429087,-0.028691,1588710226
Caroline,F,2020-05-05 20:23:45.787 +0000,-0.276416,0.387064,-0.04099,1588710226
Caroline,F,2020-05-05 20:23:45.797 +0000,-0.263394,0.36509,-0.056805,1588710226
Caroline,F,2020-05-05 20:23:45.807 +0000,-0.255189,0.385938,-0.090734,1588710226
Caroline,F,2020-05-05 20:23:45.817 +0000,-0.22432,0.447533,-0.154,1588710226
Caroline,F,2020-05-05 20:23:45.827 +0000,-0.183976,0.527005,-0.235339,1588710226
Caroline,F,2020-05-05 20:23:45.836 +0000,-0.144347,0.570815,-0.319277,1588710226
Caroline,F,2020-05-05 20:23:45.846 +0000,-0.105462,0.541374,-0.383829,1588710226
Caroline,F,2020-05-05 20:23:45.856 +0000,-0.0736,0.444436,-0.448699,1588710226
Caroline,F,2020-05-05 20:23:45.866 +0000,-0.043601,0.326533,-0.531152,1588710226
Caroline,F,2020-05-05 20:23:45.876 +0000,-0.007674,0.236593,-0.636647,1588710226
Caroline,F,2020-05-05 20:23:45.886 +0000,0.029096,0.197878,-0.738186,1588710226
Caroline,F,2020-05-05 20:23:45.896 +0000,0.081053,0.184572,-0.827354,1588710226
Caroline,F,2020-05-05 20:23:45.906 +0000,0.135539,0.192307,-0.901338,1588710226
Caroline,F,2020-05-05 20:23:45.916 +0000,0.168451,0.195659,-0.984206,1588710226
Caroline,F,2020-05-05 20:23:45.926 +0000,0.195669,0.168693,-1.072628,1588710226
Caroline,F,2020-05-05 20:23:45.936 +0000,0.196327,0.115395,-1.164738,1588710226
Caroline,F,2020-05-05 20:23:45.946 +0000,0.175293,0.068439,-1.248029,1588710226
Caroline,F,2020-05-05 20:23:45.956 +0000,0.14173,0.025772,-1.32011,1588710226
Caroline,F,2020-05-05 20:23:45.966 +0000,0.109066,-0.024608,-1.383264,1588710226
Caroline,F,2020-05-05 20:23:45.976 +0000,0.075963,-0.085302,-1.446941,1588710226
Caroline,F,2020-05-05 20:23:45.986 +0000,0.055599,-0.148953,-1.522989,1588710226
Caroline,F,2020-05-05 20:23:45.996 +0000,0.010293,-0.187444,-1.611363,1588710226
Caroline,F,2020-05-05 20:23:46.006 +0000,-0.061236,-0.177203,-1.71727,1588710226
Caroline,F,2020-05-05 20:23:46.016 +0000,-0.119455,-0.126242,-1.834043,1588710226
Caroline,F,2020-05-05 20:23:46.026 +0000,-0.130571,-0.008109,-1.93591,1588710226
Caroline,F,2020-05-05 20:23:46.036 +0000,-0.129082,0.200377,-1.98469,1588710226
Caroline,F,2020-05-05 20:23:46.045 +0000,-0.123874,0.467146,-1.96241,1588710226
Caroline,F,2020-05-05 20:23:46.055 +0000,-0.095888,0.765967,-1.86552,1588710226
Caroline,F,2020-05-05 20:23:46.065 +0000,-0.05054,1.070239,-1.745852,1588710226
Caroline,F,2020-05-05 20:23:46.075 +0000,-0.001579,1.32525,-1.628533,1588710226
