User,Activity,timestamp,x,y,z,timeIntervalSince1970
Caroline,I,2020-05-05 20:10:26.557 +0000,-0.007877,0.030186,-0.019356,1588709427
Caroline,I,2020-05-05 20:10:26.567 +0000,-0.017575,-0.039824,-0.012089,1588709427
Caroline,I,2020-05-05 20:10:26.577 +0000,-0.02962,-0.051667,-0.018885,1588709427
Caroline,I,2020-05-05 20:10:26.587 +0000,-0.03332,-0.017813,-0.034381,1588709427
Caroline,I,2020-05-05 20:10:26.597 +0000,-0.015856,-0.000293,-0.041295,1588709427
Caroline,I,2020-05-05 20:10:26.607 +0000,0.011015,-0.000221,-0.038053,1588709427
Caroline,I,2020-05-05 20:10:26.617 +0000,0.024725,0.016589,-0.030388,1588709427
Caroline,I,2020-05-05 20:10:26.627 +0000,0.010888,0.045289,-0.019955,1588709427
Caroline,I,2020-05-05 20:10:26.636 +0000,-0.022686,0.042365,0.001546,1588709427
Caroline,I,2020-05-05 20:10:26.646 +0000,-0.046858,-0.011605,0.008388,1588709427
Caroline,I,2020-05-05 20:10:26.656 +0000,-0.054857,-0.139219,-0.012495,1588709427
Caroline,I,2020-05-05 20:10:26.666 +0000,-0.06208,-0.32024,-0.06256,1588709427
Caroline,I,2020-05-05 20:10:26.676 +0000,-0.094504,-0.445461,-0.174816,1588709427
Caroline,I,2020-05-05 20:10:26.686 +0000,-0.104806,-0.306303,-0.179911,1588709427
Caroline,I,2020-05-05 20:10:26.696 +0000,-0.090474,-0.251216,-0.170123,1588709427
Caroline,I,2020-05-05 20:10:26.706 +0000,-0.123039,-0.172818,-0.141195,1588709427
Caroline,I,2020-05-05 20:10:26.716 +0000,-0.116693,-0.089024,-0.116296,1588709427
Caroline,I,2020-05-05 20:10:26.726 +0000,-0.109343,-0.051314,-0.121379,1588709427
Caroline,I,2020-05-05 20:10:26.736 +0000,-0.123197,0.013983,-0.160949,1588709427
Caroline,I,2020-05-05 20:10:26.746 +0000,-0.129915,-0.005089,-0.203039,1588709427
Caroline,I,2020-05-05 20:10:26.756 +0000,-0.134511,-0.073913,-0.228754,1588709427
Caroline,I,2020-05-05 20:10:26.766 +0000,-0.154834,-0.146292,-0.235315,1588709427
Caroline,I,2020-05-05 20:10:26.776 +0000,-0.167936,-0.199876,-0.234076,1588709427
Caroline,I,2020-05-05 20:10:26.786 +0000,-0.187696,-0.204473,-0.238024,1588709427
Caroline,I,2020-05-05 20:10:26.796 +0000,-0.217224,-0.166329,-0.239948,1588709427
Caroline,I,2020-05-05 20:10:26.806 +0000,-0.236789,-0.12288,-0.21837,1588709427
Caroline,I,2020-05-05 20:10:26.816 +0000,-0.239687,-0.086421,-0.175253,1588709427
Caroline,I,2020-05-05 20:10:26.826 +0000,-0.255214,-0.048284,-0.133861,1588709427
Caroline,I,2020-05-05 20:10:26.836 +0000,-0.260049,-0.024046,-0.104406,1588709427
Caroline,I,2020-05-05 20:10:26.845 +0000,-0.240796,-0.043468,-0.079622,1588709427
Caroline,I,2020-05-05 20:10:26.855 +0000,-0.232223,-0.065048,-0.064828,1588709427
Caroline,I,2020-05-05 20:10:26.865 +0000,-0.228365,-0.080715,-0.042159,1588709427
Caroline,I,2020-05-05 20:10:26.875 +0000,-0.212305,-0.105941,-0.017265,1588709427
Caroline,I,2020-05-05 20:10:26.885 +0000,-0.186338,-0.138247,0.005605,1588709427
