User,Activity,timestamp,x,y,z,timeIntervalSince1970
Luca,D,2020-05-05 15:18:02.695 +0000,-0.269424,-0.768784,-0.561935,1588691883
Luca,D,2020-05-05 15:18:02.705 +0000,-0.260742,-0.773773,-0.590866,1588691883
Luca,D,2020-05-05 15:18:02.715 +0000,-0.288193,-0.767838,-0.598679,1588691883
Luca,D,2020-05-05 15:18:02.725 +0000,-0.28891,-0.767929,-0.601669,1588691883
Luca,D,2020-05-05 15:18:02.735 +0000,-0.269913,-0.776505,-0.610184,1588691883
Luca,D,2020-05-05 15:18:02.745 +0000,-0.245193,-0.778992,-0.611511,1588691883
Luca,D,2020-05-05 15:18:02.755 +0000,-0.221085,-0.775391,-0.610107,1588691883
Luca,D,2020-05-05 15:18:02.765 +0000,-0.208389,-0.74765,-0.605164,1588691883
Luca,D,2020-05-05 15:18:02.775 +0000,-0.210953,-0.740906,-0.591782,1588691883
Luca,D,2020-05-05 15:18:02.785 +0000,-0.218903,-0.766891,-0.587601,1588691883
Luca,D,2020-05-05 15:18:02.795 +0000,-0.233032,-0.774261,-0.599213,1588691883
Luca,D,2020-05-05 15:18:02.805 +0000,-0.251175,-0.766083,-0.602982,1588691883
Luca,D,2020-05-05 15:18:02.815 +0000,-0.277069,-0.7556,-0.595978,1588691883
Luca,D,2020-05-05 15:18:02.825 +0000,-0.300049,-0.749756,-0.590317,1588691883
Luca,D,2020-05-05 15:18:02.835 +0000,-0.308258,-0.750961,-0.593613,1588691883
Luca,D,2020-05-05 15:18:02.845 +0000,-0.304611,-0.751709,-0.600525,1588691883
Luca,D,2020-05-05 15:18:02.855 +0000,-0.295593,-0.751373,-0.605499,1588691883
Luca,D,2020-05-05 15:18:02.865 +0000,-0.280457,-0.757034,-0.609451,1588691883
Luca,D,2020-05-05 15:18:02.875 +0000,-0.263214,-0.765182,-0.613083,1588691883
Luca,D,2020-05-05 15:18:02.885 +0000,-0.247299,-0.770264,-0.612579,1588691883
Luca,D,2020-05-05 15:18:02.895 +0000,-0.238068,-0.772537,-0.606888,1588691883
Luca,D,2020-05-05 15:18:02.905 +0000,-0.233749,-0.770782,-0.602661,1588691883
Luca,D,2020-05-05 15:18:02.915 +0000,-0.232513,-0.770065,-0.604553,1588691883
Luca,D,2020-05-05 15:18:02.925 +0000,-0.241791,-0.780685,-0.595261,1588691883
Luca,D,2020-05-05 15:18:02.935 +0000,-0.254776,-0.786804,-0.581055,1588691883
Luca,D,2020-05-05 15:18:02.945 +0000,-0.269348,-0.782288,-0.575424,1588691883
Luca,D,2020-05-05 15:18:02.955 +0000,-0.284714,-0.7742,-0.569336,1588691883
Luca,D,2020-05-05 15:18:02.965 +0000,-0.293167,-0.767166,-0.565552,1588691883
Luca,D,2020-05-05 15:18:02.975 +0000,-0.294998,-0.763489,-0.563644,1588691883
Luca,D,2020-05-05 15:18:02.985 +0000,-0.291885,-0.764206,-0.560791,1588691883
Luca,D,2020-05-05 15:18:02.995 +0000,-0.284317,-0.766937,-0.564209,1588691883
Luca,D,2020-05-05 15:18:03.005 +0000,-0.272415,-0.772079,-0.570496,1588691883
Luca,D,2020-05-05 15:18:03.015 +0000,-0.255829,-0.774841,-0.579102,1588691883
Luca,D,2020-05-05 15:18:03.025 +0000,-0.239944,-0.770935,-0.585938,1588691883
Luca,D,2020-05-05 15:18:03.035 +0000,-0.229385,-0.766479,-0.583603,1588691883
Luca,D,2020-05-05 15:18:03.045 +0000,-0.226776,-0.761841,-0.575516,1588691883
Luca,D,2020-05-05 15:18:03.055 +0000,-0.238556,-0.760712,-0.561768,1588691883
Luca,D,2020-05-05 15:18:03.065 +0000,-0.25795,-0.758026,-0.552872,1588691883
Luca,D,2020-05-05 15:18:03.075 +0000,-0.281937,-0.754562,-0.550949,1588691883
Luca,D,2020-05-05 15:18:03.085 +0000,-0.299545,-0.749344,-0.552643,1588691883
Luca,D,2020-05-05 15:18:03.095 +0000,-0.312347,-0.737305,-0.560562,1588691883
Luca,D,2020-05-05 15:18:03.105 +0000,-0.340469,-0.74028,-0.539154,1588691883
Luca,D,2020-05-05 15:18:03.115 +0000,-0.374496,-0.733978,-0.525192,1588691883
Luca,D,2020-05-05 15:18:03.125 +0000,-0.412949,-0.716324,-0.522308,1588691883
Luca,D,2020-05-05 15:18:03.135 +0000,-0.442688,-0.700836,-0.513153,1588691883
Luca,D,2020-05-05 15:18:03.145 +0000,-0.473373,-0.703888,-0.517441,1588691883
Luca,D,2020-05-05 15:18:03.155 +0000,-0.501816,-0.716431,-0.524628,1588691883
Luca,D,2020-05-05 15:18:03.165 +0000,-0.513153,-0.732605,-0.525131,1588691883
Luca,D,2020-05-05 15:18:03.175 +0000,-0.512726,-0.755829,-0.532822,1588691883
Luca,D,2020-05-05 15:18:03.185 +0000,-0.499176,-0.775208,-0.537292,1588691883
Luca,D,2020-05-05 15:18:03.195 +0000,-0.480026,-0.788544,-0.533554,1588691883
Luca,D,2020-05-05 15:18:03.205 +0000,-0.463501,-0.800461,-0.524017,1588691883
Luca,D,2020-05-05 15:18:03.215 +0000,-0.439102,-0.804993,-0.515274,1588691883
Luca,D,2020-05-05 15:18:03.225 +0000,-0.410675,-0.791382,-0.510834,1588691883
Luca,D,2020-05-05 15:18:03.235 +0000,-0.387878,-0.764252,-0.509903,1588691883
Luca,D,2020-05-05 15:18:03.245 +0000,-0.37886,-0.733353,-0.510422,1588691883
Luca,D,2020-05-05 15:18:03.255 +0000,-0.378632,-0.712097,-0.517609,1588691883
Luca,D,2020-05-05 15:18:03.265 +0000,-0.380325,-0.712234,-0.533859,1588691883
Luca,D,2020-05-05 15:18:03.275 +0000,-0.395767,-0.743759,-0.551559,1588691883
Luca,D,2020-05-05 15:18:03.285 +0000,-0.430862,-0.798798,-0.547791,1588691883
Luca,D,2020-05-05 15:18:03.295 +0000,-0.488083,-0.853439,-0.524902,1588691883
Luca,D,2020-05-05 15:18:03.305 +0000,-0.572815,-0.872086,-0.500809,1588691883
Luca,D,2020-05-05 15:18:03.315 +0000,-0.648438,-0.851669,-0.465851,1588691883
Luca,D,2020-05-05 15:18:03.325 +0000,-0.693054,-0.80632,-0.431351,1588691883
Luca,D,2020-05-05 15:18:03.335 +0000,-0.710297,-0.760941,-0.401947,1588691883
Luca,D,2020-05-05 15:18:03.345 +0000,-0.704971,-0.735748,-0.374344,1588691883
Luca,D,2020-05-05 15:18:03.355 +0000,-0.678757,-0.737473,-0.355423,1588691883
Luca,D,2020-05-05 15:18:03.365 +0000,-0.650482,-0.758636,-0.347443,1588691883
Luca,D,2020-05-05 15:18:03.375 +0000,-0.621078,-0.77774,-0.348801,1588691883
Luca,D,2020-05-05 15:18:03.385 +0000,-0.594559,-0.782623,-0.353027,1588691883
Luca,D,2020-05-05 15:18:03.395 +0000,-0.585281,-0.781189,-0.344894,1588691883
Luca,D,2020-05-05 15:18:03.405 +0000,-0.588928,-0.777435,-0.316574,1588691883
Luca,D,2020-05-05 15:18:03.415 +0000,-0.608734,-0.765732,-0.268524,1588691883
Luca,D,2020-05-05 15:18:03.425 +0000,-0.645523,-0.753601,-0.208954,1588691883
Luca,D,2020-05-05 15:18:03.435 +0000,-0.684494,-0.737381,-0.164093,1588691883
Luca,D,2020-05-05 15:18:03.445 +0000,-0.714661,-0.712219,-0.13768,1588691883
Luca,D,2020-05-05 15:18:03.455 +0000,-0.733109,-0.704346,-0.08049,1588691883
Luca,D,2020-05-05 15:18:03.465 +0000,-0.759842,-0.710571,-0.000168,1588691883
Luca,D,2020-05-05 15:18:03.475 +0000,-0.796585,-0.706604,0.075882,1588691883
Luca,D,2020-05-05 15:18:03.485 +0000,-0.818588,-0.687744,0.149261,1588691883
Luca,D,2020-05-05 15:18:03.495 +0000,-0.849197,-0.664948,0.21698,1588691883
Luca,D,2020-05-05 15:18:03.505 +0000,-0.88324,-0.624557,0.270828,1588691884
Luca,D,2020-05-05 15:18:03.515 +0000,-0.89418,-0.581009,0.300018,1588691884
Luca,D,2020-05-05 15:18:03.525 +0000,-0.899231,-0.559662,0.310837,1588691884
Luca,D,2020-05-05 15:18:03.535 +0000,-0.909668,-0.559067,0.309235,1588691884
Luca,D,2020-05-05 15:18:03.545 +0000,-0.906799,-0.563721,0.294464,1588691884
Luca,D,2020-05-05 15:18:03.555 +0000,-0.878113,-0.559296,0.303238,1588691884
Luca,D,2020-05-05 15:18:03.565 +0000,-0.835815,-0.547607,0.319351,1588691884
Luca,D,2020-05-05 15:18:03.575 +0000,-0.800781,-0.529709,0.332214,1588691884
Luca,D,2020-05-05 15:18:03.585 +0000,-0.786728,-0.508499,0.344162,1588691884
Luca,D,2020-05-05 15:18:03.595 +0000,-0.783798,-0.492096,0.354385,1588691884
Luca,D,2020-05-05 15:18:03.605 +0000,-0.773941,-0.474701,0.375809,1588691884
Luca,D,2020-05-05 15:18:03.615 +0000,-0.74971,-0.449677,0.389542,1588691884
Luca,D,2020-05-05 15:18:03.625 +0000,-0.711578,-0.42247,0.390244,1588691884
Luca,D,2020-05-05 15:18:03.635 +0000,-0.669266,-0.395508,0.396774,1588691884
Luca,D,2020-05-05 15:18:03.645 +0000,-0.63269,-0.36882,0.399658,1588691884
Luca,D,2020-05-05 15:18:03.655 +0000,-0.603943,-0.337936,0.409042,1588691884
Luca,D,2020-05-05 15:18:03.665 +0000,-0.593399,-0.301682,0.432007,1588691884
Luca,D,2020-05-05 15:18:03.675 +0000,-0.607193,-0.270004,0.454666,1588691884
Luca,D,2020-05-05 15:18:03.685 +0000,-0.634995,-0.242233,0.48291,1588691884
Luca,D,2020-05-05 15:18:03.695 +0000,-0.666718,-0.214813,0.50441,1588691884
Luca,D,2020-05-05 15:18:03.705 +0000,-0.686935,-0.200363,0.513336,1588691884
Luca,D,2020-05-05 15:18:03.715 +0000,-0.69696,-0.199463,0.529144,1588691884
Luca,D,2020-05-05 15:18:03.725 +0000,-0.706604,-0.196793,0.559326,1588691884
Luca,D,2020-05-05 15:18:03.735 +0000,-0.721283,-0.183136,0.576828,1588691884
Luca,D,2020-05-05 15:18:03.745 +0000,-0.734085,-0.166534,0.588852,1588691884
Luca,D,2020-05-05 15:18:03.755 +0000,-0.739716,-0.153717,0.59993,1588691884
