User,Activity,timestamp,timeIntervalSince1970,x,y,z
Luca,D,2020-05-05 15:19:17.653 +0000,1588691958,-0.155777,-0.733276,-0.615997
Luca,D,2020-05-05 15:19:17.663 +0000,1588691958,-0.148743,-0.747482,-0.615646
Luca,D,2020-05-05 15:19:17.673 +0000,1588691958,-0.115372,-0.761856,-0.648666
Luca,D,2020-05-05 15:19:17.683 +0000,1588691958,-0.133789,-0.74234,-0.655991
Luca,D,2020-05-05 15:19:17.693 +0000,1588691958,-0.174606,-0.730118,-0.642029
Luca,D,2020-05-05 15:19:17.703 +0000,1588691958,-0.189041,-0.743149,-0.633316
Luca,D,2020-05-05 15:19:17.713 +0000,1588691958,-0.194885,-0.765442,-0.628372
Luca,D,2020-05-05 15:19:17.723 +0000,1588691958,-0.183975,-0.769318,-0.625244
Luca,D,2020-05-05 15:19:17.733 +0000,1588691958,-0.162582,-0.760101,-0.632721
Luca,D,2020-05-05 15:19:17.743 +0000,1588691958,-0.144318,-0.742783,-0.635437
Luca,D,2020-05-05 15:19:17.753 +0000,1588691958,-0.135651,-0.736115,-0.640488
Luca,D,2020-05-05 15:19:17.763 +0000,1588691958,-0.13707,-0.746094,-0.65184
Luca,D,2020-05-05 15:19:17.773 +0000,1588691958,-0.148407,-0.752838,-0.654266
Luca,D,2020-05-05 15:19:17.783 +0000,1588691958,-0.163055,-0.748077,-0.649292
Luca,D,2020-05-05 15:19:17.793 +0000,1588691958,-0.17395,-0.742249,-0.64415
Luca,D,2020-05-05 15:19:17.803 +0000,1588691958,-0.177704,-0.744843,-0.642609
Luca,D,2020-05-05 15:19:17.813 +0000,1588691958,-0.17128,-0.748337,-0.644577
Luca,D,2020-05-05 15:19:17.823 +0000,1588691958,-0.1586,-0.747757,-0.649429
Luca,D,2020-05-05 15:19:17.833 +0000,1588691958,-0.140289,-0.746628,-0.64949
Luca,D,2020-05-05 15:19:17.843 +0000,1588691958,-0.124542,-0.753403,-0.644608
Luca,D,2020-05-05 15:19:17.853 +0000,1588691958,-0.120132,-0.750748,-0.651047
Luca,D,2020-05-05 15:19:17.863 +0000,1588691958,-0.126877,-0.74704,-0.65976
Luca,D,2020-05-05 15:19:17.873 +0000,1588691958,-0.136795,-0.750748,-0.654449
Luca,D,2020-05-05 15:19:17.883 +0000,1588691958,-0.153061,-0.754074,-0.656204
Luca,D,2020-05-05 15:19:17.893 +0000,1588691958,-0.166321,-0.754135,-0.654495
Luca,D,2020-05-05 15:19:17.903 +0000,1588691958,-0.176483,-0.752487,-0.651657
Luca,D,2020-05-05 15:19:17.913 +0000,1588691958,-0.190109,-0.755508,-0.645355
Luca,D,2020-05-05 15:19:17.923 +0000,1588691958,-0.198944,-0.752518,-0.644424
Luca,D,2020-05-05 15:19:17.933 +0000,1588691958,-0.204803,-0.746414,-0.65036
Luca,D,2020-05-05 15:19:17.943 +0000,1588691958,-0.20575,-0.7453,-0.648514
