User,Activity,timestamp,x,y,z,timeIntervalSince1970
Luca,E,2020-05-05 15:45:15.634 +0000,-0.416397,-0.217148,-0.848953,1588693516
Luca,E,2020-05-05 15:45:15.644 +0000,-0.434296,-0.243118,-0.833038,1588693516
Luca,E,2020-05-05 15:45:15.654 +0000,-0.430267,-0.25116,-0.828674,1588693516
Luca,E,2020-05-05 15:45:15.664 +0000,-0.421814,-0.250061,-0.822723,1588693516
Luca,E,2020-05-05 15:45:15.674 +0000,-0.400375,-0.255493,-0.825302,1588693516
Luca,E,2020-05-05 15:45:15.684 +0000,-0.368393,-0.261429,-0.839279,1588693516
Luca,E,2020-05-05 15:45:15.694 +0000,-0.348251,-0.26796,-0.849213,1588693516
Luca,E,2020-05-05 15:45:15.704 +0000,-0.345413,-0.278015,-0.851715,1588693516
Luca,E,2020-05-05 15:45:15.714 +0000,-0.350876,-0.282837,-0.850769,1588693516
Luca,E,2020-05-05 15:45:15.724 +0000,-0.361847,-0.286133,-0.844681,1588693516
Luca,E,2020-05-05 15:45:15.734 +0000,-0.371155,-0.28688,-0.834991,1588693516
Luca,E,2020-05-05 15:45:15.744 +0000,-0.376328,-0.28215,-0.828583,1588693516
Luca,E,2020-05-05 15:45:15.754 +0000,-0.383392,-0.277725,-0.830658,1588693516
Luca,E,2020-05-05 15:45:15.764 +0000,-0.390854,-0.27713,-0.839645,1588693516
Luca,E,2020-05-05 15:45:15.774 +0000,-0.391556,-0.275345,-0.851547,1588693516
Luca,E,2020-05-05 15:45:15.784 +0000,-0.383423,-0.268127,-0.861389,1588693516
Luca,E,2020-05-05 15:45:15.794 +0000,-0.377548,-0.255615,-0.86348,1588693516
Luca,E,2020-05-05 15:45:15.804 +0000,-0.379196,-0.243515,-0.857376,1588693516
Luca,E,2020-05-05 15:45:15.814 +0000,-0.384262,-0.238602,-0.855515,1588693516
Luca,E,2020-05-05 15:45:15.824 +0000,-0.396942,-0.238235,-0.862503,1588693516
Luca,E,2020-05-05 15:45:15.834 +0000,-0.41243,-0.235641,-0.870605,1588693516
Luca,E,2020-05-05 15:45:15.844 +0000,-0.417435,-0.228561,-0.87706,1588693516
Luca,E,2020-05-05 15:45:15.854 +0000,-0.414871,-0.221268,-0.882278,1588693516
Luca,E,2020-05-05 15:45:15.864 +0000,-0.411301,-0.221375,-0.880768,1588693516
Luca,E,2020-05-05 15:45:15.874 +0000,-0.435593,-0.220016,-0.86203,1588693516
Luca,E,2020-05-05 15:45:15.884 +0000,-0.466644,-0.2155,-0.838699,1588693516
Luca,E,2020-05-05 15:45:15.894 +0000,-0.491379,-0.212601,-0.825684,1588693516
Luca,E,2020-05-05 15:45:15.904 +0000,-0.509048,-0.20871,-0.822525,1588693516
Luca,E,2020-05-05 15:45:15.914 +0000,-0.52211,-0.209641,-0.827393,1588693516
Luca,E,2020-05-05 15:45:15.924 +0000,-0.532959,-0.215973,-0.829971,1588693516
Luca,E,2020-05-05 15:45:15.934 +0000,-0.543243,-0.216827,-0.8228,1588693516
Luca,E,2020-05-05 15:45:15.944 +0000,-0.550354,-0.209656,-0.804169,1588693516
Luca,E,2020-05-05 15:45:15.954 +0000,-0.554199,-0.203369,-0.783066,1588693516
Luca,E,2020-05-05 15:45:15.964 +0000,-0.559357,-0.206451,-0.768082,1588693516
Luca,E,2020-05-05 15:45:15.974 +0000,-0.571426,-0.21048,-0.76355,1588693516
Luca,E,2020-05-05 15:45:15.984 +0000,-0.591797,-0.204605,-0.764526,1588693516
Luca,E,2020-05-05 15:45:15.994 +0000,-0.62207,-0.179413,-0.759384,1588693516
Luca,E,2020-05-05 15:45:16.004 +0000,-0.661789,-0.141083,-0.74202,1588693516
Luca,E,2020-05-05 15:45:16.014 +0000,-0.704773,-0.09903,-0.710205,1588693516
Luca,E,2020-05-05 15:45:16.024 +0000,-0.740311,-0.054428,-0.667389,1588693516
Luca,E,2020-05-05 15:45:16.034 +0000,-0.767105,-0.008713,-0.620407,1588693516
Luca,E,2020-05-05 15:45:16.044 +0000,-0.790451,0.04129,-0.578659,1588693516
Luca,E,2020-05-05 15:45:16.054 +0000,-0.816299,0.100784,-0.538925,1588693516
Luca,E,2020-05-05 15:45:16.064 +0000,-0.835281,0.172424,-0.492722,1588693516
Luca,E,2020-05-05 15:45:16.074 +0000,-0.842865,0.263382,-0.449753,1588693516
