User,Activity,timestamp,x,y,z,timeIntervalSince1970
Luca,F,2020-05-05 15:02:48.611 +0000,-0.351334,-0.402924,-0.822006,1588690969
Luca,F,2020-05-05 15:02:48.621 +0000,-0.36554,-0.376541,-0.828461,1588690969
Luca,F,2020-05-05 15:02:48.631 +0000,-0.352005,-0.351089,-0.837936,1588690969
Luca,F,2020-05-05 15:02:48.641 +0000,-0.327469,-0.346115,-0.861923,1588690969
Luca,F,2020-05-05 15:02:48.651 +0000,-0.300674,-0.361908,-0.868576,1588690969
Luca,F,2020-05-05 15:02:48.661 +0000,-0.28923,-0.376068,-0.872162,1588690969
Luca,F,2020-05-05 15:02:48.671 +0000,-0.266037,-0.365906,-0.877823,1588690969
Luca,F,2020-05-05 15:02:48.681 +0000,-0.239014,-0.342468,-0.892151,1588690969
Luca,F,2020-05-05 15:02:48.691 +0000,-0.237259,-0.330048,-0.901718,1588690969
Luca,F,2020-05-05 15:02:48.701 +0000,-0.281509,-0.330811,-0.888184,1588690969
Luca,F,2020-05-05 15:02:48.711 +0000,-0.360291,-0.331573,-0.859497,1588690969
Luca,F,2020-05-05 15:02:48.721 +0000,-0.40213,-0.350037,-0.842499,1588690969
Luca,F,2020-05-05 15:02:48.731 +0000,-0.410416,-0.366333,-0.838257,1588690969
Luca,F,2020-05-05 15:02:48.741 +0000,-0.393433,-0.360336,-0.844437,1588690969
Luca,F,2020-05-05 15:02:48.751 +0000,-0.359299,-0.348755,-0.86084,1588690969
Luca,F,2020-05-05 15:02:48.761 +0000,-0.323929,-0.3479,-0.8815,1588690969
Luca,F,2020-05-05 15:02:48.771 +0000,-0.296997,-0.355484,-0.895233,1588690969
Luca,F,2020-05-05 15:02:48.781 +0000,-0.278183,-0.363708,-0.900269,1588690969
Luca,F,2020-05-05 15:02:48.791 +0000,-0.274521,-0.364853,-0.899246,1588690969
Luca,F,2020-05-05 15:02:48.801 +0000,-0.285736,-0.357727,-0.89566,1588690969
Luca,F,2020-05-05 15:02:48.811 +0000,-0.304947,-0.348404,-0.886887,1588690969
Luca,F,2020-05-05 15:02:48.821 +0000,-0.322891,-0.34256,-0.87561,1588690969
Luca,F,2020-05-05 15:02:48.831 +0000,-0.339371,-0.340363,-0.867142,1588690969
Luca,F,2020-05-05 15:02:48.841 +0000,-0.349594,-0.338623,-0.865936,1588690969
Luca,F,2020-05-05 15:02:48.851 +0000,-0.350464,-0.335068,-0.871384,1588690969
Luca,F,2020-05-05 15:02:48.861 +0000,-0.347244,-0.329819,-0.8797,1588690969
Luca,F,2020-05-05 15:02:48.871 +0000,-0.342087,-0.325424,-0.884476,1588690969
Luca,F,2020-05-05 15:02:48.881 +0000,-0.334442,-0.32373,-0.882401,1588690969
Luca,F,2020-05-05 15:02:48.891 +0000,-0.326279,-0.324814,-0.876297,1588690969
Luca,F,2020-05-05 15:02:48.901 +0000,-0.321213,-0.328644,-0.870087,1588690969
Luca,F,2020-05-05 15:02:48.911 +0000,-0.316299,-0.334717,-0.865097,1588690969
Luca,F,2020-05-05 15:02:48.921 +0000,-0.315109,-0.341599,-0.862808,1588690969
Luca,F,2020-05-05 15:02:48.931 +0000,-0.319031,-0.346771,-0.865097,1588690969
Luca,F,2020-05-05 15:02:48.941 +0000,-0.326431,-0.347977,-0.867966,1588690969
Luca,F,2020-05-05 15:02:48.951 +0000,-0.335312,-0.346771,-0.866379,1588690969
Luca,F,2020-05-05 15:02:48.961 +0000,-0.349319,-0.343903,-0.8629,1588690969
Luca,F,2020-05-05 15:02:48.971 +0000,-0.362686,-0.337784,-0.858673,1588690969
Luca,F,2020-05-05 15:02:48.981 +0000,-0.368042,-0.329346,-0.852417,1588690969
Luca,F,2020-05-05 15:02:48.991 +0000,-0.369934,-0.321457,-0.84874,1588690969
