User,Activity,timestamp,x,y,z,timeIntervalSince1970
Luca,G,2020-05-05 15:07:51.437 +0000,-0.294556,-0.33847,-0.888153,1588691271
Luca,G,2020-05-05 15:07:51.447 +0000,-0.298889,-0.335846,-0.899368,1588691271
Luca,G,2020-05-05 15:07:51.457 +0000,-0.309036,-0.321198,-0.898483,1588691271
Luca,G,2020-05-05 15:07:51.467 +0000,-0.303879,-0.30864,-0.894867,1588691271
Luca,G,2020-05-05 15:07:51.477 +0000,-0.294708,-0.306992,-0.900467,1588691271
Luca,G,2020-05-05 15:07:51.487 +0000,-0.290619,-0.322571,-0.903381,1588691271
Luca,G,2020-05-05 15:07:51.497 +0000,-0.281677,-0.336807,-0.897751,1588691271
Luca,G,2020-05-05 15:07:51.507 +0000,-0.268906,-0.336594,-0.897415,1588691272
Luca,G,2020-05-05 15:07:51.517 +0000,-0.253647,-0.30864,-0.903778,1588691272
Luca,G,2020-05-05 15:07:51.527 +0000,-0.255585,-0.308365,-0.910141,1588691272
Luca,G,2020-05-05 15:07:51.537 +0000,-0.269135,-0.325241,-0.913467,1588691272
Luca,G,2020-05-05 15:07:51.547 +0000,-0.281387,-0.324646,-0.911606,1588691272
Luca,G,2020-05-05 15:07:51.557 +0000,-0.294769,-0.315292,-0.899368,1588691272
Luca,G,2020-05-05 15:07:51.567 +0000,-0.307831,-0.309967,-0.888565,1588691272
Luca,G,2020-05-05 15:07:51.577 +0000,-0.318039,-0.313141,-0.882751,1588691272
Luca,G,2020-05-05 15:07:51.587 +0000,-0.319336,-0.322433,-0.884171,1588691272
Luca,G,2020-05-05 15:07:51.597 +0000,-0.31366,-0.327927,-0.884903,1588691272
Luca,G,2020-05-05 15:07:51.607 +0000,-0.303497,-0.329697,-0.885437,1588691272
Luca,G,2020-05-05 15:07:51.617 +0000,-0.290451,-0.326981,-0.885071,1588691272
Luca,G,2020-05-05 15:07:51.627 +0000,-0.280609,-0.321899,-0.884491,1588691272
Luca,G,2020-05-05 15:07:51.637 +0000,-0.280167,-0.315308,-0.882492,1588691272
Luca,G,2020-05-05 15:07:51.647 +0000,-0.287415,-0.311249,-0.878098,1588691272
Luca,G,2020-05-05 15:07:51.657 +0000,-0.300903,-0.311249,-0.872253,1588691272
Luca,G,2020-05-05 15:07:51.667 +0000,-0.313339,-0.309311,-0.868759,1588691272
Luca,G,2020-05-05 15:07:51.677 +0000,-0.324265,-0.304367,-0.864456,1588691272
Luca,G,2020-05-05 15:07:51.687 +0000,-0.335388,-0.298294,-0.857483,1588691272
Luca,G,2020-05-05 15:07:51.697 +0000,-0.345856,-0.294846,-0.845856,1588691272
Luca,G,2020-05-05 15:07:51.707 +0000,-0.358734,-0.296204,-0.830292,1588691272
Luca,G,2020-05-05 15:07:51.717 +0000,-0.36647,-0.300613,-0.817429,1588691272
Luca,G,2020-05-05 15:07:51.727 +0000,-0.369324,-0.303619,-0.810089,1588691272
Luca,G,2020-05-05 15:07:51.737 +0000,-0.370132,-0.305634,-0.803497,1588691272
Luca,G,2020-05-05 15:07:51.747 +0000,-0.375549,-0.306183,-0.794785,1588691272
Luca,G,2020-05-05 15:07:51.757 +0000,-0.381668,-0.305984,-0.78952,1588691272
Luca,G,2020-05-05 15:07:51.767 +0000,-0.383636,-0.311462,-0.784149,1588691272
Luca,G,2020-05-05 15:07:51.777 +0000,-0.382126,-0.318878,-0.773697,1588691272
Luca,G,2020-05-05 15:07:51.787 +0000,-0.380478,-0.313507,-0.759445,1588691272
Luca,G,2020-05-05 15:07:51.797 +0000,-0.383545,-0.280853,-0.751053,1588691272
Luca,G,2020-05-05 15:07:51.807 +0000,-0.39325,-0.222382,-0.750244,1588691272
Luca,G,2020-05-05 15:07:51.817 +0000,-0.407455,-0.150528,-0.753433,1588691272
Luca,G,2020-05-05 15:07:51.827 +0000,-0.42218,-0.087204,-0.748276,1588691272
Luca,G,2020-05-05 15:07:51.837 +0000,-0.438721,-0.050171,-0.728668,1588691272
Luca,G,2020-05-05 15:07:51.847 +0000,-0.447845,-0.042801,-0.711578,1588691272
Luca,G,2020-05-05 15:07:51.857 +0000,-0.449112,-0.052261,-0.7034,1588691272
Luca,G,2020-05-05 15:07:51.867 +0000,-0.44928,-0.066452,-0.703644,1588691272
Luca,G,2020-05-05 15:07:51.877 +0000,-0.447296,-0.07933,-0.716782,1588691272
Luca,G,2020-05-05 15:07:51.887 +0000,-0.435928,-0.09462,-0.722778,1588691272
Luca,G,2020-05-05 15:07:51.897 +0000,-0.42421,-0.106766,-0.714523,1588691272
Luca,G,2020-05-05 15:07:51.907 +0000,-0.420135,-0.106705,-0.696472,1588691272
Luca,G,2020-05-05 15:07:51.917 +0000,-0.424683,-0.098572,-0.68132,1588691272
Luca,G,2020-05-05 15:07:51.927 +0000,-0.439331,-0.088715,-0.667953,1588691272
Luca,G,2020-05-05 15:07:51.937 +0000,-0.464615,-0.065842,-0.663559,1588691272
Luca,G,2020-05-05 15:07:51.947 +0000,-0.49472,-0.027985,-0.664215,1588691272
Luca,G,2020-05-05 15:07:51.957 +0000,-0.522888,0.013504,-0.665588,1588691272
Luca,G,2020-05-05 15:07:51.967 +0000,-0.547028,0.038223,-0.666779,1588691272
Luca,G,2020-05-05 15:07:51.977 +0000,-0.561279,0.035599,-0.663528,1588691272
Luca,G,2020-05-05 15:07:51.987 +0000,-0.563339,0.020126,-0.651932,1588691272
Luca,G,2020-05-05 15:07:51.997 +0000,-0.555923,0.020493,-0.639435,1588691272
Luca,G,2020-05-05 15:07:52.007 +0000,-0.549118,0.055649,-0.637024,1588691272
Luca,G,2020-05-05 15:07:52.017 +0000,-0.55394,0.131256,-0.631088,1588691272
Luca,G,2020-05-05 15:07:52.027 +0000,-0.581299,0.235703,-0.639496,1588691272
Luca,G,2020-05-05 15:07:52.037 +0000,-0.627579,0.352509,-0.659561,1588691272
Luca,G,2020-05-05 15:07:52.047 +0000,-0.680496,0.461807,-0.656601,1588691272
Luca,G,2020-05-05 15:07:52.057 +0000,-0.729126,0.532684,-0.618042,1588691272
Luca,G,2020-05-05 15:07:52.067 +0000,-0.757736,0.526474,-0.540482,1588691272
Luca,G,2020-05-05 15:07:52.077 +0000,-0.764175,0.44751,-0.463776,1588691272
Luca,G,2020-05-05 15:07:52.087 +0000,-0.752853,0.353821,-0.416763,1588691272
Luca,G,2020-05-05 15:07:52.097 +0000,-0.732269,0.274597,-0.381729,1588691272
Luca,G,2020-05-05 15:07:52.107 +0000,-0.745071,0.224213,-0.364212,1588691272
Luca,G,2020-05-05 15:07:52.117 +0000,-0.809845,0.208984,-0.358368,1588691272
Luca,G,2020-05-05 15:07:52.127 +0000,-0.899673,0.228027,-0.332779,1588691272
Luca,G,2020-05-05 15:07:52.137 +0000,-0.986343,0.289215,-0.290161,1588691272
Luca,G,2020-05-05 15:07:52.147 +0000,-1.053131,0.386505,-0.288879,1588691272
Luca,G,2020-05-05 15:07:52.157 +0000,-1.078888,0.518921,-0.353455,1588691272
Luca,G,2020-05-05 15:07:52.167 +0000,-1.036957,0.632736,-0.431442,1588691272
Luca,G,2020-05-05 15:07:52.177 +0000,-0.93251,0.677887,-0.460831,1588691272
Luca,G,2020-05-05 15:07:52.187 +0000,-0.800613,0.659363,-0.429001,1588691272
Luca,G,2020-05-05 15:07:52.197 +0000,-0.705002,0.623871,-0.392517,1588691272
Luca,G,2020-05-05 15:07:52.207 +0000,-0.676483,0.612076,-0.384354,1588691272
Luca,G,2020-05-05 15:07:52.217 +0000,-0.683868,0.620117,-0.378647,1588691272
Luca,G,2020-05-05 15:07:52.227 +0000,-0.696487,0.64386,-0.365479,1588691272
Luca,G,2020-05-05 15:07:52.237 +0000,-0.705551,0.712036,-0.350235,1588691272
Luca,G,2020-05-05 15:07:52.247 +0000,-0.71788,0.810257,-0.370834,1588691272
Luca,G,2020-05-05 15:07:52.256 +0000,-0.725876,0.884262,-0.433823,1588691272
Luca,G,2020-05-05 15:07:52.267 +0000,-0.721191,0.890427,-0.474655,1588691272
Luca,G,2020-05-05 15:07:52.276 +0000,-0.69812,0.846207,-0.462418,1588691272
Luca,G,2020-05-05 15:07:52.286 +0000,-0.670395,0.796295,-0.420334,1588691272
Luca,G,2020-05-05 15:07:52.296 +0000,-0.644257,0.763351,-0.368378,1588691272
Luca,G,2020-05-05 15:07:52.306 +0000,-0.620209,0.743713,-0.325134,1588691272
Luca,G,2020-05-05 15:07:52.316 +0000,-0.598969,0.735733,-0.294617,1588691272
Luca,G,2020-05-05 15:07:52.326 +0000,-0.572647,0.741089,-0.268341,1588691272
