User,Activity,timestamp,x,y,z,timeIntervalSince1970
Luca,H,2020-05-05 15:24:22.520 +0000,-0.517136,-0.598373,-0.579437,1588692263
Luca,H,2020-05-05 15:24:22.530 +0000,-0.518036,-0.600235,-0.585129,1588692263
Luca,H,2020-05-05 15:24:22.540 +0000,-0.529114,-0.623322,-0.581436,1588692263
Luca,H,2020-05-05 15:24:22.550 +0000,-0.561066,-0.657791,-0.562851,1588692263
Luca,H,2020-05-05 15:24:22.560 +0000,-0.583237,-0.664886,-0.547318,1588692263
Luca,H,2020-05-05 15:24:22.570 +0000,-0.567581,-0.636841,-0.549545,1588692263
Luca,H,2020-05-05 15:24:22.580 +0000,-0.544525,-0.625092,-0.569077,1588692263
Luca,H,2020-05-05 15:24:22.590 +0000,-0.525421,-0.636414,-0.591217,1588692263
Luca,H,2020-05-05 15:24:22.600 +0000,-0.512939,-0.65657,-0.603058,1588692263
Luca,H,2020-05-05 15:24:22.610 +0000,-0.507721,-0.670029,-0.597183,1588692263
Luca,H,2020-05-05 15:24:22.620 +0000,-0.50824,-0.665451,-0.59317,1588692263
Luca,H,2020-05-05 15:24:22.630 +0000,-0.507492,-0.654266,-0.594421,1588692263
Luca,H,2020-05-05 15:24:22.640 +0000,-0.505157,-0.645477,-0.589981,1588692263
Luca,H,2020-05-05 15:24:22.650 +0000,-0.505737,-0.633774,-0.593292,1588692263
Luca,H,2020-05-05 15:24:22.660 +0000,-0.509995,-0.624969,-0.599152,1588692263
Luca,H,2020-05-05 15:24:22.670 +0000,-0.512375,-0.619583,-0.599701,1588692263
Luca,H,2020-05-05 15:24:22.680 +0000,-0.515503,-0.613388,-0.599014,1588692263
Luca,H,2020-05-05 15:24:22.690 +0000,-0.518433,-0.606094,-0.595581,1588692263
Luca,H,2020-05-05 15:24:22.700 +0000,-0.520813,-0.599686,-0.596695,1588692263
Luca,H,2020-05-05 15:24:22.710 +0000,-0.519669,-0.596817,-0.59343,1588692263
Luca,H,2020-05-05 15:24:22.720 +0000,-0.515228,-0.597122,-0.583878,1588692263
Luca,H,2020-05-05 15:24:22.730 +0000,-0.5047,-0.592896,-0.576355,1588692263
Luca,H,2020-05-05 15:24:22.740 +0000,-0.494019,-0.584671,-0.576889,1588692263
