User,Activity,timestamp,x,y,z,timeIntervalSince1970
Luca,J,2020-05-05 14:55:32.944 +0000,-0.407211,-0.642441,-0.658676,1588690533
Luca,J,2020-05-05 14:55:32.954 +0000,-0.430878,-0.628387,-0.636658,1588690533
Luca,J,2020-05-05 14:55:32.964 +0000,-0.41745,-0.624344,-0.637634,1588690533
Luca,J,2020-05-05 14:55:32.974 +0000,-0.398865,-0.632202,-0.649414,1588690533
Luca,J,2020-05-05 14:55:32.984 +0000,-0.375534,-0.638687,-0.660843,1588690533
Luca,J,2020-05-05 14:55:32.994 +0000,-0.354218,-0.641113,-0.671417,1588690533
Luca,J,2020-05-05 14:55:33.004 +0000,-0.338272,-0.639099,-0.681274,1588690533
Luca,J,2020-05-05 14:55:33.014 +0000,-0.331863,-0.639496,-0.68396,1588690533
Luca,J,2020-05-05 14:55:33.024 +0000,-0.335007,-0.636551,-0.678223,1588690533
Luca,J,2020-05-05 14:55:33.034 +0000,-0.343353,-0.627914,-0.675491,1588690533
Luca,J,2020-05-05 14:55:33.044 +0000,-0.352707,-0.624512,-0.67514,1588690533
Luca,J,2020-05-05 14:55:33.054 +0000,-0.36087,-0.629593,-0.674286,1588690533
Luca,J,2020-05-05 14:55:33.064 +0000,-0.37001,-0.63829,-0.67543,1588690533
Luca,J,2020-05-05 14:55:33.074 +0000,-0.376053,-0.639008,-0.678177,1588690533
Luca,J,2020-05-05 14:55:33.084 +0000,-0.375702,-0.634003,-0.678253,1588690533
Luca,J,2020-05-05 14:55:33.094 +0000,-0.372482,-0.628723,-0.675049,1588690533
Luca,J,2020-05-05 14:55:33.104 +0000,-0.366486,-0.623932,-0.671585,1588690533
Luca,J,2020-05-05 14:55:33.114 +0000,-0.357559,-0.619629,-0.670731,1588690533
Luca,J,2020-05-05 14:55:33.123 +0000,-0.349609,-0.619644,-0.670639,1588690533
Luca,J,2020-05-05 14:55:33.134 +0000,-0.344696,-0.621033,-0.671661,1588690533
Luca,J,2020-05-05 14:55:33.143 +0000,-0.344116,-0.624008,-0.671432,1588690533
Luca,J,2020-05-05 14:55:33.153 +0000,-0.350967,-0.626755,-0.669357,1588690533
Luca,J,2020-05-05 14:55:33.163 +0000,-0.362045,-0.631042,-0.665268,1588690533
Luca,J,2020-05-05 14:55:33.173 +0000,-0.37175,-0.633209,-0.660919,1588690533
Luca,J,2020-05-05 14:55:33.183 +0000,-0.377014,-0.633102,-0.66011,1588690533
Luca,J,2020-05-05 14:55:33.193 +0000,-0.375275,-0.634674,-0.662598,1588690533
Luca,J,2020-05-05 14:55:33.203 +0000,-0.370346,-0.634811,-0.668961,1588690533
Luca,J,2020-05-05 14:55:33.213 +0000,-0.365524,-0.635117,-0.675476,1588690533
Luca,J,2020-05-05 14:55:33.223 +0000,-0.363495,-0.630798,-0.68074,1588690533
Luca,J,2020-05-05 14:55:33.233 +0000,-0.363525,-0.621628,-0.686707,1588690533
Luca,J,2020-05-05 14:55:33.243 +0000,-0.360992,-0.613953,-0.690842,1588690533
Luca,J,2020-05-05 14:55:33.253 +0000,-0.361877,-0.609268,-0.688461,1588690533
Luca,J,2020-05-05 14:55:33.263 +0000,-0.380173,-0.603928,-0.679245,1588690533
Luca,J,2020-05-05 14:55:33.273 +0000,-0.411255,-0.593826,-0.661514,1588690533
Luca,J,2020-05-05 14:55:33.283 +0000,-0.444366,-0.574234,-0.63707,1588690533
Luca,J,2020-05-05 14:55:33.293 +0000,-0.480408,-0.547852,-0.623901,1588690533
Luca,J,2020-05-05 14:55:33.303 +0000,-0.501999,-0.52475,-0.616943,1588690533
Luca,J,2020-05-05 14:55:33.313 +0000,-0.498795,-0.499039,-0.619766,1588690533
Luca,J,2020-05-05 14:55:33.323 +0000,-0.47554,-0.470444,-0.642624,1588690533
Luca,J,2020-05-05 14:55:33.333 +0000,-0.450668,-0.463303,-0.640869,1588690533
Luca,J,2020-05-05 14:55:33.343 +0000,-0.458328,-0.485291,-0.618118,1588690533
Luca,J,2020-05-05 14:55:33.353 +0000,-0.482956,-0.526108,-0.57016,1588690533
Luca,J,2020-05-05 14:55:33.363 +0000,-0.498367,-0.550293,-0.507111,1588690533
Luca,J,2020-05-05 14:55:33.373 +0000,-0.514847,-0.536392,-0.474594,1588690533
Luca,J,2020-05-05 14:55:33.383 +0000,-0.518677,-0.488785,-0.472015,1588690533
Luca,J,2020-05-05 14:55:33.393 +0000,-0.509705,-0.434418,-0.489029,1588690533
Luca,J,2020-05-05 14:55:33.403 +0000,-0.498688,-0.414368,-0.501556,1588690533
Luca,J,2020-05-05 14:55:33.413 +0000,-0.49292,-0.428329,-0.508255,1588690533
Luca,J,2020-05-05 14:55:33.423 +0000,-0.477234,-0.464569,-0.517136,1588690533
Luca,J,2020-05-05 14:55:33.433 +0000,-0.448746,-0.51384,-0.514084,1588690533
Luca,J,2020-05-05 14:55:33.443 +0000,-0.434357,-0.551727,-0.502197,1588690533
Luca,J,2020-05-05 14:55:33.453 +0000,-0.457092,-0.569336,-0.471161,1588690533
Luca,J,2020-05-05 14:55:33.463 +0000,-0.514984,-0.55864,-0.43222,1588690533
Luca,J,2020-05-05 14:55:33.473 +0000,-0.592957,-0.52005,-0.392441,1588690533
Luca,J,2020-05-05 14:55:33.483 +0000,-0.673386,-0.481735,-0.367645,1588690533
Luca,J,2020-05-05 14:55:33.493 +0000,-0.737686,-0.469452,-0.380707,1588690533
Luca,J,2020-05-05 14:55:33.503 +0000,-0.786987,-0.496048,-0.38652,1588690534
Luca,J,2020-05-05 14:55:33.513 +0000,-0.846344,-0.539001,-0.350159,1588690534
Luca,J,2020-05-05 14:55:33.523 +0000,-0.912704,-0.553802,-0.286057,1588690534
