User,Activity,timestamp,x,y,z,timeIntervalSince1970
Luca,C,2020-05-05 15:31:27.586 +0000,-0.043238,-0.113257,0.025201,1588692688
Luca,C,2020-05-05 15:31:27.596 +0000,-0.024584,-0.096768,0.017973,1588692688
Luca,C,2020-05-05 15:31:27.606 +0000,0.00328,-0.069334,0.002788,1588692688
Luca,C,2020-05-05 15:31:27.616 +0000,0.012932,-0.04502,-0.005777,1588692688
Luca,C,2020-05-05 15:31:27.626 +0000,0.003394,-0.014583,0.013656,1588692688
Luca,C,2020-05-05 15:31:27.636 +0000,-0.020556,0.035799,0.063593,1588692688
Luca,C,2020-05-05 15:31:27.646 +0000,-0.043139,0.087787,0.106352,1588692688
Luca,C,2020-05-05 15:31:27.656 +0000,-0.055302,0.127327,0.117717,1588692688
Luca,C,2020-05-05 15:31:27.666 +0000,-0.057547,0.131897,0.105393,1588692688
Luca,C,2020-05-05 15:31:27.676 +0000,-0.054969,0.093866,0.093148,1588692688
Luca,C,2020-05-05 15:31:27.686 +0000,-0.045865,0.091295,0.08311,1588692688
Luca,C,2020-05-05 15:31:27.696 +0000,-0.025189,0.126932,0.064661,1588692688
Luca,C,2020-05-05 15:31:27.706 +0000,-0.018386,0.141146,0.041919,1588692688
Luca,C,2020-05-05 15:31:27.716 +0000,-0.028495,0.167371,0.038773,1588692688
Luca,C,2020-05-05 15:31:27.726 +0000,-0.044897,0.234123,0.061272,1588692688
Luca,C,2020-05-05 15:31:27.736 +0000,-0.054891,0.30085,0.088119,1588692688
Luca,C,2020-05-05 15:31:27.746 +0000,-0.053515,0.301738,0.084131,1588692688
Luca,C,2020-05-05 15:31:27.756 +0000,-0.047213,0.250245,0.066384,1588692688
Luca,C,2020-05-05 15:31:27.766 +0000,-0.041449,0.167355,0.057048,1588692688
Luca,C,2020-05-05 15:31:27.776 +0000,-0.038649,0.0492,0.056047,1588692688
Luca,C,2020-05-05 15:31:27.786 +0000,-0.038103,-0.074585,0.064294,1588692688
Luca,C,2020-05-05 15:31:27.796 +0000,-0.045078,-0.189032,0.068067,1588692688
Luca,C,2020-05-05 15:31:27.806 +0000,-0.057218,-0.280106,0.073136,1588692688
Luca,C,2020-05-05 15:31:27.816 +0000,-0.07192,-0.339793,0.080078,1588692688
Luca,C,2020-05-05 15:31:27.826 +0000,-0.086734,-0.401189,0.087588,1588692688
Luca,C,2020-05-05 15:31:27.836 +0000,-0.096248,-0.445553,0.090759,1588692688
Luca,C,2020-05-05 15:31:27.846 +0000,-0.083959,-0.453828,0.083301,1588692688
Luca,C,2020-05-05 15:31:27.856 +0000,-0.07183,-0.44531,0.076025,1588692688
Luca,C,2020-05-05 15:31:27.866 +0000,-0.079865,-0.36544,0.105993,1588692688
Luca,C,2020-05-05 15:31:27.876 +0000,-0.090661,-0.170574,0.154236,1588692688
Luca,C,2020-05-05 15:31:27.886 +0000,-0.103621,0.147159,0.17794,1588692688
Luca,C,2020-05-05 15:31:27.896 +0000,-0.159992,0.223213,0.117198,1588692688
Luca,C,2020-05-05 15:31:27.906 +0000,-0.17761,0.136339,0.052654,1588692688
Luca,C,2020-05-05 15:31:27.916 +0000,-0.155617,0.107553,0.036844,1588692688
Luca,C,2020-05-05 15:31:27.926 +0000,-0.126939,0.084448,0.058719,1588692688
