User,Activity,timestamp,x,y,z,timeIntervalSince1970
Luca,D,2020-05-05 15:18:02.702 +0000,-0.028465,0.121048,0.053152,1588691883
Luca,D,2020-05-05 15:18:02.712 +0000,-0.029567,0.14414,0.038849,1588691883
Luca,D,2020-05-05 15:18:02.722 +0000,-0.01738,0.188705,0.03665,1588691883
Luca,D,2020-05-05 15:18:02.732 +0000,-0.018469,0.21023,0.051179,1588691883
Luca,D,2020-05-05 15:18:02.742 +0000,-0.02459,0.165197,0.06565,1588691883
Luca,D,2020-05-05 15:18:02.752 +0000,-0.030308,0.065479,0.060476,1588691883
Luca,D,2020-05-05 15:18:02.762 +0000,-0.022894,-0.034394,0.050396,1588691883
Luca,D,2020-05-05 15:18:02.772 +0000,-0.013956,-0.096016,0.046499,1588691883
Luca,D,2020-05-05 15:18:02.782 +0000,-0.010785,-0.142385,0.044003,1588691883
Luca,D,2020-05-05 15:18:02.792 +0000,-0.018535,-0.19008,0.03971,1588691883
Luca,D,2020-05-05 15:18:02.802 +0000,-0.019527,-0.193734,0.040457,1588691883
Luca,D,2020-05-05 15:18:02.812 +0000,-0.011171,-0.121563,0.045944,1588691883
Luca,D,2020-05-05 15:18:02.822 +0000,0.006192,-0.023245,0.047242,1588691883
Luca,D,2020-05-05 15:18:02.832 +0000,0.027583,0.053841,0.039326,1588691883
Luca,D,2020-05-05 15:18:02.842 +0000,0.041156,0.094001,0.0322,1588691883
Luca,D,2020-05-05 15:18:02.852 +0000,0.053024,0.11581,0.028683,1588691883
Luca,D,2020-05-05 15:18:02.862 +0000,0.06039,0.129382,0.022648,1588691883
Luca,D,2020-05-05 15:18:02.872 +0000,0.058791,0.110539,0.012123,1588691883
Luca,D,2020-05-05 15:18:02.882 +0000,0.052658,0.060775,0.011712,1588691883
Luca,D,2020-05-05 15:18:02.892 +0000,0.060404,0.003241,0.011708,1588691883
Luca,D,2020-05-05 15:18:02.902 +0000,0.071281,-0.063003,0.007624,1588691883
Luca,D,2020-05-05 15:18:02.912 +0000,0.068936,-0.123343,-0.001486,1588691883
Luca,D,2020-05-05 15:18:02.922 +0000,0.07259,-0.148244,-0.001406,1588691883
Luca,D,2020-05-05 15:18:02.932 +0000,0.077744,-0.136284,0.007217,1588691883
Luca,D,2020-05-05 15:18:02.942 +0000,0.081829,-0.098245,0.017646,1588691883
Luca,D,2020-05-05 15:18:02.952 +0000,0.083834,-0.04811,0.02524,1588691883
Luca,D,2020-05-05 15:18:02.962 +0000,0.085536,0.002797,0.028012,1588691883
Luca,D,2020-05-05 15:18:02.972 +0000,0.084277,0.058187,0.029797,1588691883
Luca,D,2020-05-05 15:18:02.982 +0000,0.081181,0.114222,0.029929,1588691883
Luca,D,2020-05-05 15:18:02.992 +0000,0.077627,0.158823,0.025231,1588691883
Luca,D,2020-05-05 15:18:03.002 +0000,0.072548,0.193154,0.021977,1588691883
Luca,D,2020-05-05 15:18:03.012 +0000,0.063368,0.196079,0.019677,1588691883
Luca,D,2020-05-05 15:18:03.022 +0000,0.051125,0.163722,0.017169,1588691883
Luca,D,2020-05-05 15:18:03.032 +0000,0.044367,0.0877,0.017419,1588691883
Luca,D,2020-05-05 15:18:03.042 +0000,0.047353,0.000473,0.026119,1588691883
Luca,D,2020-05-05 15:18:03.052 +0000,0.054562,-0.057638,0.040945,1588691883
Luca,D,2020-05-05 15:18:03.062 +0000,0.05532,-0.091115,0.065582,1588691883
Luca,D,2020-05-05 15:18:03.072 +0000,0.052633,-0.124444,0.088325,1588691883
Luca,D,2020-05-05 15:18:03.082 +0000,0.040248,-0.206369,0.117098,1588691883
Luca,D,2020-05-05 15:18:03.092 +0000,0.026402,-0.308141,0.153998,1588691883
Luca,D,2020-05-05 15:18:03.102 +0000,0.032432,-0.364801,0.181557,1588691883
Luca,D,2020-05-05 15:18:03.112 +0000,0.048543,-0.411881,0.206957,1588691883
Luca,D,2020-05-05 15:18:03.122 +0000,0.057781,-0.471653,0.23596,1588691883
