User,Activity,timestamp,x,y,z,timeIntervalSince1970
Luca,B,2020-05-05 15:30:27.071 +0000,-0.014781,-0.039174,0.017743,1588692627
Luca,B,2020-05-05 15:30:27.081 +0000,-0.039802,-0.074372,-0.004454,1588692627
Luca,B,2020-05-05 15:30:27.091 +0000,-0.069925,-0.072503,0.001044,1588692627
Luca,B,2020-05-05 15:30:27.101 +0000,-0.067114,-0.03285,0.034559,1588692627
Luca,B,2020-05-05 15:30:27.111 +0000,-0.062323,0.01958,0.058876,1588692627
Luca,B,2020-05-05 15:30:27.121 +0000,-0.060484,0.054595,0.052687,1588692627
Luca,B,2020-05-05 15:30:27.131 +0000,-0.062683,0.063235,0.038985,1588692627
Luca,B,2020-05-05 15:30:27.141 +0000,-0.075652,0.060323,0.029746,1588692627
Luca,B,2020-05-05 15:30:27.151 +0000,-0.082963,0.05076,0.033739,1588692627
Luca,B,2020-05-05 15:30:27.161 +0000,-0.079869,0.043045,0.039822,1588692627
Luca,B,2020-05-05 15:30:27.171 +0000,-0.079571,0.045937,0.032804,1588692627
Luca,B,2020-05-05 15:30:27.181 +0000,-0.090932,0.044949,0.01997,1588692627
Luca,B,2020-05-05 15:30:27.191 +0000,-0.101326,0.048662,0.013881,1588692627
Luca,B,2020-05-05 15:30:27.201 +0000,-0.110317,0.060307,0.013396,1588692627
Luca,B,2020-05-05 15:30:27.211 +0000,-0.110455,0.092263,0.019883,1588692627
Luca,B,2020-05-05 15:30:27.221 +0000,-0.100647,0.141316,0.01807,1588692627
Luca,B,2020-05-05 15:30:27.231 +0000,-0.08873,0.201206,0.015722,1588692627
Luca,B,2020-05-05 15:30:27.241 +0000,-0.086338,0.279818,0.017445,1588692627
Luca,B,2020-05-05 15:30:27.251 +0000,-0.096129,0.373478,0.031247,1588692627
Luca,B,2020-05-05 15:30:27.261 +0000,-0.109063,0.462822,0.049285,1588692627
Luca,B,2020-05-05 15:30:27.271 +0000,-0.115222,0.505337,0.069986,1588692627
Luca,B,2020-05-05 15:30:27.281 +0000,-0.112551,0.475769,0.082853,1588692627
Luca,B,2020-05-05 15:30:27.291 +0000,-0.103077,0.387676,0.08449,1588692627
Luca,B,2020-05-05 15:30:27.301 +0000,-0.096869,0.27073,0.070771,1588692627
